NG_cool_NB,NG_cool_NB_capital,NG_cool_NB_MO,NG_cool_NB_emissions,NG_cool_private,NG_cool_CO2e,NG_nocool_NB,NG_nocool_NB_capital,NG_nocool_NB_MO,NG_nocool_NB_emissions,NG_nocool_private,NG_nocool_CO2e,price_change
-604.3003653,-624.19,-17.7980678,37.68770245,-641.9880678,1151.460146,-6665.052125,-6512.98,-17.7980678,-134.2740571,-6530.778068,-4101.076078,0
-601.1634421,-624.19,-14.70777643,37.7343343,-638.8977764,1152.812512,-6661.889393,-6512.98,-14.70777643,-134.2016168,-6527.687776,-4099.723712,0.01
-598.5173345,-624.19,-11.61748506,37.29015053,-635.8074851,1152.407822,-6657.272369,-6512.98,-11.61748506,-132.6748844,-6524.597485,-4100.128402,0.02
-579.2045537,-624.19,-35.45968636,80.44513262,-659.6496864,2470.579085,-6638.996703,-6512.98,-35.45968636,-90.55701633,-6548.439686,-2781.957139,0.03
-574.3708961,-624.19,-28.51720404,78.33630798,-652.707204,2466.773664,-6630.001332,-6512.98,-28.51720404,-88.50412831,-6541.497204,-2785.76256,0.04
-564.9299848,-624.19,-21.57472172,80.83473688,-645.7647217,2470.176016,-6625.631508,-6512.98,-21.57472172,-91.07678643,-6534.554722,-2782.360208,0.05
-546.2224578,-624.19,-43.74706723,121.7146094,-667.9370672,3770.866617,-6604.54685,-6512.98,-43.74706723,-47.81978273,-6556.727067,-1481.669607,0.06
-535.1055502,-624.19,-32.7249208,121.8093706,-656.9149208,3771.211601,-6593.542664,-6512.98,-32.7249208,-47.83774299,-6545.704921,-1481.324623,0.07
-522.3816483,-624.19,-21.70277438,123.5111261,-645.8927744,3766.424434,-6583.351445,-6512.98,-21.70277438,-48.66867013,-6534.682774,-1486.111789,0.08
-509.2024684,-624.19,-10.68062795,125.6681596,-634.870628,3764.025921,-6573.313134,-6512.98,-10.68062795,-49.65250587,-6523.660628,-1488.510303,0.09
-475.7753174,-624.19,-47.35885697,195.7735395,-671.548857,6011.379776,-6535.56684,-6512.98,-47.35885697,24.7720171,-6560.338857,758.8435523,0.1
-458.2535035,-624.19,-28.73917415,194.6756707,-652.9291742,6018.400426,-6516.972981,-6512.98,-28.73917415,24.74619338,-6541.719174,765.8642017,0.11
-439.5940017,-624.19,-10.11949133,194.7154896,-634.3094913,6025.853538,-6498.146205,-6512.98,-10.11949133,24.95328649,-6523.099491,773.317314,0.12
-392.4396531,-624.19,-75.32867341,307.0790203,-699.5186734,9543.404222,-6450.191715,-6512.98,-75.32867341,138.1169579,-6588.308673,4290.867998,0.13
