"NG_cool_NB","NG_cool_NB_capital","NG_cool_NB_MO","NG_cool_NB_emissions","NG_cool_private","NG_cool_CO2e","NG_nocool_NB","NG_nocool_NB_capital","NG_nocool_NB_MO","NG_nocool_NB_emissions","NG_nocool_private","NG_nocool_CO2e","price_change"
-604.300365343857,-624.190000000001,-17.7980677952055,37.6877024513515,-641.988067795206,1151.46014550702,-6665.05212490783,-6512.98,-17.7980677952055,-134.274057112619,-6530.77806779521,-4101.07607835305,0
-601.341422804762,-624.190000000001,-14.8857571033268,37.7343342985669,-639.075757103327,1152.81251195147,-6662.0673739281,-6512.98,-14.8857571033268,-134.20161682477,-6527.86575710333,-4099.72371190861,0.01
-598.873295882768,-624.190000000001,-11.9734464114499,37.2901505286832,-636.16344641145,1152.40782196718,-6657.62833076232,-6512.98,-11.9734464114499,-132.674884350866,-6524.95344641145,-4100.12840189289,0.02
-580.893167734132,-624.190000000001,-37.1483003560334,80.4451326219009,-661.338300356034,2470.57908450603,-6640.68531668367,-6512.98,-37.1483003560334,-90.5570163276338,-6550.12830035603,-2781.95713935404,0.03
-576.622381393125,-624.190000000001,-30.7686893729497,78.3363079798246,-654.95868937295,2466.77366377565,-6632.25281768223,-6512.98,-30.7686893729497,-88.5041283092821,-6543.74868937295,-2785.76256008442,0.04
-567.744341504964,-624.190000000001,-24.3890783898642,80.8347368849002,-648.579078389865,2470.17601576215,-6628.44586481827,-6512.98,-24.3890783898642,-91.0767864284057,-6537.36907838986,-2782.36020809793,0.05
-552.815254555324,-624.190000000001,-50.3398639759926,121.714609420669,-674.529863975993,3770.8666170924,-6611.13964670746,-6512.98,-50.3398639759926,-47.8197827314702,-6563.31986397599,-1481.66960676767,0.06
-542.797146419813,-624.190000000001,-40.4165170083816,121.80937058857,-664.606517008382,3771.2116005289,-6601.23425999772,-6512.98,-40.4165170083816,-47.8377429893333,-6553.39651700838,-1481.32462333117,0.07
-531.172043988005,-624.190000000001,-30.4931700407724,123.511126052765,-654.683170040773,3766.42443446465,-6592.14184016996,-6512.98,-30.4931700407724,-48.6686701291922,-6543.47317004077,-1486.11178939542,0.08
-519.091663496463,-624.190000000001,-20.5698230731614,125.668159576701,-644.759823073162,3764.02592080816,-6583.20232894304,-6512.98,-20.5698230731614,-49.6525058698815,-6533.54982307316,-1488.51030305192,0.09
-512.184945620545,-624.190000000001,-10.6464761055504,122.651530485007,-634.836476105551,3766.1465210227,-6571.9764680562,-6512.98,-10.6464761055504,-48.3499919506467,-6523.62647610555,-1486.38970283737,0.1
-483.944628825364,-624.190000000001,-54.430299521764,194.675670696397,-678.620299521765,6018.4004255444,-6542.66410614673,-6512.98,-54.430299521764,24.7461933750333,-6567.41029952176,765.86420168433,0.11
-467.620683912883,-624.190000000001,-38.1461735534795,194.715489640595,-662.33617355348,6025.85353785654,-6526.1728870669,-6512.98,-38.1461735534795,24.953286486578,-6551.12617355348,773.317313996471,0.12
-452.753894618985,-624.190000000001,-21.8620475851967,193.298152966212,-646.052047585197,6007.37930624597,-6510.50595697926,-6512.98,-21.8620475851967,24.3360906059327,-6534.8420475852,754.843082385894,0.13
