,NG_cool_NB,NG_cool_NB_capital,NG_cool_NB_MO,NG_cool_NB_emissions,NG_cool_private,NG_cool_CO2e,NG_nocool_NB,NG_nocool_NB_capital,NG_nocool_NB_MO,NG_nocool_NB_emissions,NG_nocool_private,NG_nocool_CO2e,HO_cool_NB,HO_cool_NB_capital,HO_cool_NB_MO,HO_cool_NB_emissions,HO_cool_private,HO_cool_CO2e,HO_nocool_NB,HO_nocool_NB_capital,HO_nocool_NB_MO,HO_nocool_NB_emissions,HO_nocool_private,HO_nocool_CO2e,P_cool_NB,P_cool_NB_capital,P_cool_NB_MO,P_cool_NB_emissions,P_cool_private,P_cool_CO2e,P_nocool_NB,P_nocool_NB_capital,P_nocool_NB_MO,P_nocool_NB_emissions,P_nocool_private,P_nocool_CO2e,ElecRes_cool_NB,ElecRes_cool_NB_capital,ElecRes_cool_NB_MO,ElecRes_cool_NB_emissions,ElecRes_cool_private,ElecRes_cool_CO2e,ElecRes_nocool_NB,ElecRes_nocool_NB_capital,ElecRes_nocool_NB_MO,ElecRes_nocool_NB_emissions,ElecRes_nocool_private,ElecRes_nocool_CO2e,wood_cool_NB,wood_cool_NB_capital,wood_cool_NB_MO,wood_cool_NB_emissions,wood_cool_private,wood_cool_CO2e,wood_nocool_NB,wood_nocool_NB_capital,wood_nocool_NB_MO,wood_nocool_NB_emissions,wood_nocool_private,wood_nocool_CO2e
5,-620.2183799,-622.1053582,-0.875891633,2.762869928,-622.9812498,83.88183112,-6688.091144,-6518.103817,-0.875891633,-169.1114351,-6518.979709,-5168.654393,-87.09428839,-622.1053582,417.6458877,117.3651821,-204.4594705,3592.315559,-6154.967052,-6518.103817,417.6458877,-54.50912286,-6100.457929,-1660.220665,98.73883605,-622.1053582,642.9979495,77.84624476,20.89259129,2380.42756,-5969.133928,-6518.103817,642.9979495,-94.02806023,-5875.105867,-2872.108663,1025.253101,-622.1053582,1492.578277,154.7801819,870.4729191,4730.374554,-5042.619663,-6518.103817,1492.578277,-17.0941231,-5025.52554,-522.1616699,83.16483262,-622.1053582,595.7549425,109.5152483,-26.35041569,3349.067847,-5984.707931,-6518.103817,595.7549425,-62.35905668,-5922.348874,-1903.468377
10,-608.7125678,-612.2938302,-1.736552674,5.317815057,-614.0303829,167.246896,-6675.00069,-6510.81951,-1.736552674,-162.4446273,-6512.556063,-5085.289328,462.6121214,-612.2938302,845.3978561,229.5080955,233.1040259,7191.954842,-5603.676001,-6510.81951,845.3978561,61.74565317,-5665.421654,1939.418618,835.159284,-612.2938302,1295.795879,151.6572353,683.5020487,4754.148281,-5231.128838,-6510.81951,1295.795879,-16.10520702,-5215.023631,-498.3879431,2674.165109,-612.2938302,2984.563676,301.8952633,2372.269846,9456.641716,-3392.123013,-6510.81951,2984.563676,134.132821,-3526.255834,4204.105492,788.594968,-612.2938302,1188.534532,212.3542658,576.2407022,6670.068219,-5277.693154,-6510.81951,1188.534532,44.59182347,-5322.284978,1417.531995
15,-636.4843154,-642.52605,-2.565772478,8.607507045,-645.0918224,261.6585161,-6691.384017,-6526.32339,-2.565772478,-162.4948552,-6528.889162,-4990.877708,977.4019966,-642.52605,1268.975628,350.9524181,626.4495785,10792.38083,-5077.497705,-6526.32339,1268.975628,179.8500559,-5257.347761,5539.844611,1540.739217,-642.52605,1950.268886,232.9963814,1307.742836,7146.592043,-4514.160485,-6526.32339,1950.268886,61.89401923,-4576.054504,1894.055819,4302.443766,-642.52605,4482.338228,462.6315881,3839.812178,14196.15402,-1752.455936,-6526.32339,4482.338228,291.5292259,-2043.985162,8943.6178,1473.1528,-642.52605,1787.406871,328.2719794,1144.880821,10048.94147,-4581.746902,-6526.32339,1787.406871,157.1696172,-4738.916519,4796.405249
20,-622.6094542,-629.3209368,-3.467883431,10.1793661,-632.7888203,309.8176125,-6672.757467,-6509.040812,-3.467883431,-160.2487711,-6512.508695,-4942.718611,1524.750244,-629.3209368,1688.944801,465.1263794,1059.623865,14308.06289,-4525.397768,-6509.040812,1688.944801,294.6982422,-4820.096011,9055.526663,2249.232209,-629.3209368,2570.468536,308.0846099,1941.147599,9479.531747,-3800.915803,-6509.040812,2570.468536,137.6564727,-3938.572276,4226.995524,5938.739523,-629.3209368,5954.766503,613.2939568,5325.445566,18890.63367,-111.4084896,-6509.040812,5954.766503,442.8658196,-554.2743091,13638.09745,2167.332382,-629.3209368,2365.666312,430.9870069,1736.345375,13233.98238,-3882.81563,-6509.040812,2365.666312,260.5588697,-4143.3745,7981.446151
25,-609.0990509,-618.4588241,-4.435595482,13.79536862,-622.8944195,428.3210064,-6679.682987,-6518.989118,-4.435595482,-156.2582744,-6523.424713,-4824.215217,2039.165174,-618.4588241,2080.990178,576.6338204,1462.531354,17865.30513,-4031.418762,-6518.989118,2080.990178,406.5801774,-4437.99894,12612.7689,2974.004912,-618.4588241,3207.756247,384.7074888,2589.297423,11895.06944,-3096.579024,-6518.989118,3207.756247,214.6538459,-3311.23287,6642.533217,7610.522706,-618.4588241,7463.478524,765.5030052,6845.0197,23653.44741,1539.938769,-6518.989118,7463.478524,595.4493623,944.4894069,18400.91118,2897.778323,-618.4588241,2976.445662,539.7914859,2357.986838,16722.43961,-3172.805613,-6518.989118,2976.445662,369.7378429,-3542.543456,11469.90338
30,-614.7389353,-626.3854197,-5.232895073,16.8793795,-631.6183148,517.1852195,-6680.121638,-6521.389397,-5.232895073,-153.4993452,-6526.622293,-4735.351004,2576.867019,-626.3854197,2507.880823,695.3716156,1881.495403,21341.39684,-3488.515684,-6521.389397,2507.880823,524.9928909,-4013.508574,16088.86061,3690.633077,-626.3854197,3853.376464,463.642032,3226.991045,14288.38494,-2374.749626,-6521.389397,3853.376464,293.2633073,-2668.012933,9035.848715,9253.333007,-626.3854197,8958.906536,920.8118901,8332.521117,28383.06378,3187.950304,-6521.389397,8958.906536,750.4331654,2437.517139,23130.52756,3594.736124,-626.3854197,3570.309431,650.8121131,2943.924011,20054.98775,-2470.646578,-6521.389397,3570.309431,480.4333884,-2951.079967,14802.45152
35,-593.1393065,-606.5549782,-6.096462816,19.51213446,-612.651441,590.5297976,-6664.966231,-6505.985569,-6.096462816,-152.8841991,-6512.082032,-4662.006426,3219.06274,-606.5549782,2994.338347,831.2793711,2387.783369,25259.4144,-2852.764184,-6505.985569,2994.338347,658.8830376,-3511.647222,20006.87818,4505.456386,-606.5549782,4562.472471,549.5388931,3955.917492,16731.66588,-1566.370539,-6505.985569,4562.472471,377.1425596,-1943.513098,11479.12966,10940.1206,-606.5549782,10458.54079,1088.134788,9851.985808,33150.91767,4868.293671,-6505.985569,10458.54079,915.7384544,3952.555217,27898.38145,4362.978579,-606.5549782,4193.005137,776.5284203,3586.450159,23655.79829,-1708.848345,-6505.985569,4193.005137,604.1320868,-2312.980432,18403.26207
40,-609.2467036,-622.8976776,-7.66011743,21.31109142,-630.557795,656.6506514,-6661.101293,-6503.232578,-7.66011743,-150.2085978,-6510.892695,-4595.885572,3737.74396,-622.8976776,3428.550473,932.0911651,2805.652795,28542.96255,-2314.11063,-6503.232578,3428.550473,760.5714759,-3074.682105,23290.42632,5157.814282,-622.8976776,5159.688639,621.0233205,4536.790962,19028.6231,-894.0403076,-6503.232578,5159.688639,449.5036313,-1343.543939,13776.08687,12532.1658,-622.8976776,11919.64543,1235.418051,11296.74775,37835.09151,6480.311215,-6503.232578,11919.64543,1063.898362,5416.412854,32582.55529,5009.310186,-622.8976776,4759.567015,872.6408495,4136.669337,26734.66912,-1042.544403,-6503.232578,4759.567015,701.1211602,-1743.665563,21482.13289
45,-608.877063,-625.6730943,-7.857457861,24.65348919,-633.5305522,754.7130257,-6668.084237,-6513.737369,-7.857457861,-146.4894098,-6521.594827,-4497.823198,4194.33783,-625.6730943,3770.94859,1049.062334,3145.275496,32157.60005,-1864.869344,-6513.737369,3770.94859,877.9194353,-2742.788779,26905.06383,5847.558385,-625.6730943,5774.082571,699.1489082,5148.409476,21452.74995,-211.6487895,-6513.737369,5774.082571,528.0060093,-739.6547987,16200.21373,14198.85055,-625.6730943,13436.08861,1388.435033,12810.41552,42602.51701,8139.643379,-6513.737369,13436.08861,1217.292134,6922.351245,37349.98079,5734.452631,-625.6730943,5372.842755,987.2829705,4747.16966,30246.81977,-324.7545431,-6513.737369,5372.842755,816.1400715,-1140.894615,24994.28354
50,-599.4877935,-618.6491286,-9.057535097,28.21887018,-627.7066637,868.7728582,-6672.472109,-6520.933929,-9.057535097,-142.4806444,-6529.991465,-4383.763366,4700.212385,-618.6491286,4155.096583,1163.764931,3536.447454,35847.87507,-1372.77193,-6520.933929,4155.096583,993.0654165,-2365.837347,30595.33885,6570.091147,-618.6491286,6414.86442,773.8758555,5796.215291,23822.30943,497.1068312,-6520.933929,6414.86442,603.1763409,-106.0695097,18569.77321,15862.23189,-618.6491286,14942.1568,1538.724219,14323.50767,47357.23516,9789.247577,-6520.933929,14942.1568,1368.024705,8421.222873,42104.69894,6459.170774,-618.6491286,5983.074211,1094.745692,5364.425082,33733.96862,386.1864588,-6520.933929,5983.074211,924.0461773,-537.8597185,28481.4324
55,-602.0493981,-620.7321545,-9.662653279,28.34540967,-630.3948078,873.460144,-6668.346453,-6516.276567,-9.662653279,-142.4072326,-6525.939221,-4379.07608,5400.204037,-620.7321545,4730.065169,1290.871023,4109.333014,39625.60918,-666.0930181,-6516.276567,4730.065169,1120.11838,-1786.211398,34373.07296,7372.975212,-620.7321545,7142.390547,851.3168194,6521.658392,26178.25467,1306.678157,-6516.276567,7142.390547,680.5641771,626.1139796,20925.71844,17465.886,-620.7321545,16395.13543,1691.482725,15774.40328,52024.76882,11399.58895,-6516.276567,16395.13543,1520.730083,9878.858862,46772.2326,7121.172267,-620.7321545,6545.491983,1196.412438,5924.759829,36764.27478,1054.875211,-6516.276567,6545.491983,1025.659796,29.21541579,31511.73856
60,-590.3267636,-611.6731514,-11.61941944,32.96580725,-623.2925709,1024.139891,-6652.440056,-6503.446183,-11.61941944,-137.3744536,-6515.065603,-4228.396333,5806.221757,-611.6731514,5020.770655,1397.124254,4409.097503,42950.1512,-255.8915352,-6503.446183,5020.770655,1226.783993,-1482.675528,37697.61498,8009.868623,-611.6731514,7693.072063,928.4697111,7081.398912,28638.59729,1947.75533,-6503.446183,7693.072063,758.1294502,1189.62588,23386.06106,19146.04213,-611.6731514,17916.08002,1841.635262,17304.40687,56801.80239,13083.92884,-6503.446183,17916.08002,1671.295002,11412.63384,51549.26617,7852.632955,-611.6731514,7159.893515,1304.412591,6548.220364,40295.91098,1790.519662,-6503.446183,7159.893515,1134.07233,656.447332,35043.37476
65,-599.1104131,-622.7661827,-11.53013148,35.18590113,-634.2963142,1080.39616,-6649.226502,-6502.916373,-11.53013148,-134.779998,-6514.446504,-4172.140064,6360.830152,-622.7661827,5482.83434,1500.761994,4860.068158,46385.6703,310.7140626,-6502.916373,5482.83434,1330.796095,-1020.082032,41133.13408,8749.926094,-622.7661827,8371.983649,1000.708628,7749.217466,30941.61157,2699.810005,-6502.916373,8371.983649,830.7427289,1869.067276,25689.07534,20761.28823,-622.7661827,19394.51245,1989.541969,18771.74626,61495.7491,14711.17214,-6502.916373,19394.51245,1819.576069,12891.59607,56243.21288,8515.787444,-622.7661827,7734.938629,1403.614998,7112.172446,43444.72542,2465.671355,-6502.916373,7734.938629,1233.649099,1232.022256,38192.1892
70,-613.9236174,-639.0736499,-13.13027128,38.28030384,-652.2039212,1176.781877,-6679.216117,-6533.48397,-13.13027128,-132.6018759,-6546.614241,-4075.754347,6936.886533,-639.0736499,5920.37598,1655.584203,5281.30233,50830.17611,871.5940329,-6533.48397,5920.37598,1484.702023,-613.1079898,45577.63989,9522.777356,-639.0736499,9075.6453,1086.205706,8436.57165,33390.01842,3457.484856,-6533.48397,9075.6453,915.3235262,2542.16133,28137.48219,22404.07511,-639.0736499,20888.35387,2154.794895,20249.28022,66234.6566,16338.78261,-6533.48397,20888.35387,1983.912716,14354.8699,60982.12037,9225.221715,-639.0736499,8339.008202,1525.287163,7699.934553,46880.23802,3159.929216,-6533.48397,8339.008202,1354.404983,1805.524233,41627.7018
75,-589.9753363,-617.0768854,-14.23206885,41.33361791,-631.3089542,1254.147435,-6645.283341,-6497.266454,-14.23206885,-133.784819,-6511.498523,-3998.388789,7881.573577,-617.0768854,6695.87536,1802.775103,6078.798474,54250.90412,1826.265572,-6497.266454,6695.87536,1627.656666,198.608906,48998.3679,10528.11853,-617.0768854,9952.904868,1192.290544,9335.827982,35789.96474,4472.810521,-6497.266454,9952.904868,1017.172107,3455.638414,30537.42852,24116.32351,-617.0768854,22366.72547,2366.674928,21749.64858,70993.97237,18061.0155,-6497.266454,22366.72547,2191.556491,15869.45901,65741.43615,10015.16058,-617.0768854,8953.258924,1678.978546,8336.182039,50400.62234,3959.852579,-6497.266454,8953.258924,1503.860109,2455.99247,45148.08612
