"","NG_cool_NB","NG_cool_NB_capital","NG_cool_NB_MO","NG_cool_NB_emissions","NG_cool_private","NG_cool_CO2e","NG_nocool_NB","NG_nocool_NB_capital","NG_nocool_NB_MO","NG_nocool_NB_emissions","NG_nocool_private","NG_nocool_CO2e","HO_cool_NB","HO_cool_NB_capital","HO_cool_NB_MO","HO_cool_NB_emissions","HO_cool_private","HO_cool_CO2e","HO_nocool_NB","HO_nocool_NB_capital","HO_nocool_NB_MO","HO_nocool_NB_emissions","HO_nocool_private","HO_nocool_CO2e","P_cool_NB","P_cool_NB_capital","P_cool_NB_MO","P_cool_NB_emissions","P_cool_private","P_cool_CO2e","P_nocool_NB","P_nocool_NB_capital","P_nocool_NB_MO","P_nocool_NB_emissions","P_nocool_private","P_nocool_CO2e","ElecRes_cool_NB","ElecRes_cool_NB_capital","ElecRes_cool_NB_MO","ElecRes_cool_NB_emissions","ElecRes_cool_private","ElecRes_cool_CO2e","ElecRes_nocool_NB","ElecRes_nocool_NB_capital","ElecRes_nocool_NB_MO","ElecRes_nocool_NB_emissions","ElecRes_nocool_private","ElecRes_nocool_CO2e","wood_cool_NB","wood_cool_NB_capital","wood_cool_NB_MO","wood_cool_NB_emissions","wood_cool_private","wood_cool_CO2e","wood_nocool_NB","wood_nocool_NB_capital","wood_nocool_NB_MO","wood_nocool_NB_emissions","wood_nocool_private","wood_nocool_CO2e"
"5",-620.218379883034,-622.10535817798,-0.875891632831667,2.76286992777699,-622.981249810811,83.8818311237919,-6688.09114357372,-6518.10381687793,-0.875891632831667,-169.111435062963,-6518.97970851076,-5168.65439273628,-87.0942883920779,-622.10535817798,417.645887659737,117.365182126165,-204.459470518243,3592.31555871865,-6154.96705208277,-6518.10381687793,417.645887659737,-54.5091228645753,-6100.45792921819,-1660.22066514142,98.7388360519417,-622.10535817798,642.997949472799,77.8462447571194,20.8925912948192,2380.42756039978,-5969.13392763875,-6518.10381687793,642.997949472799,-94.0280602336206,-5875.10586740513,-2872.10866346029,1025.25310103726,-622.10535817798,1492.57827732583,154.780181889414,870.472919147846,4730.37455400643,-5042.61966265343,-6518.10381687793,1492.57827732583,-17.0941231013256,-5025.5255395521,-522.161669853638,83.164832618535,-622.105358177978,595.75494248427,109.515248312242,-26.350415693708,3349.06784720285,-5984.70793107215,-6518.10381687793,595.75494248427,-62.359056678498,-5922.34887439366,-1903.46837665722
"10",-608.71256781167,-612.293830193999,-1.73655267421964,5.31781505654959,-614.030382868219,167.24689600925,-6675.00069008737,-6510.81951014509,-1.73655267421964,-162.444627268057,-6512.55606281931,-5085.28932785082,462.612121421967,-612.293830193999,845.397856124454,229.508095491512,233.104025930455,7191.95484170864,-5603.67600085374,-6510.8195101451,845.397856124454,61.745653166905,-5665.42165402064,1939.41861784857,835.159284037167,-612.293830193999,1295.79587892342,151.657235307745,683.502048729422,4754.14828080591,-5231.12883823854,-6510.8195101451,1295.79587892342,-16.1052070168615,-5215.02363122167,-498.387943054158,2674.16510926963,-612.293830193999,2984.56367615587,301.89526330776,2372.26984596187,9456.64171579604,-3392.12301300607,-6510.8195101451,2984.56367615587,134.132820983153,-3526.25583398922,4204.10549193596,788.594967955354,-612.293830193999,1188.53453235864,212.354265790715,576.24070216464,6670.06821892284,-5277.69315432035,-6510.8195101451,1188.53453235864,44.5918234661083,-5322.28497778646,1417.53199506277
"15",-629.443189142208,-635.347624663947,-2.57181982532711,8.47625534706799,-637.919444489275,258.640618465299,-6690.17193160843,-6525.13172601263,-2.57181982532711,-162.468385770473,-6527.70354583796,-4993.89560539477,976.382922633687,-635.347624663947,1260.84824095269,350.882306344943,625.500616288747,10802.188125664,-5084.34581983254,-6525.13172601263,1260.84824095269,179.937665227402,-5264.28348505994,5549.65190180395,1535.47340543999,-635.347624663947,1938.04963649071,232.771393613223,1302.70201182677,7146.39712812307,-4525.25533702624,-6525.13172601263,1938.04963649071,61.8267524956816,-4587.08208952192,1893.860904263,4305.40473217797,-635.347624663947,4478.63752602192,462.114830820002,3843.28990135797,14193.4086846451,-1755.32401028825,-6525.13172601263,4478.63752602192,291.170189702461,-2046.49419999072,8940.87246078506,1478.77962208565,-635.347624663947,1786.37228884211,327.754957907498,1151.02466417816,10039.2228026932,-4581.94912038057,-6525.13172601263,1786.37228884211,156.810316789957,-4738.75943717053,4786.68657883317
"20",-629.427187542575,-636.06175362855,-3.48815692536709,10.1227230113449,-639.549910553917,308.712497213437,-6678.38818503491,-6515.14904452721,-3.48815692536709,-159.750983582334,-6518.63720145257,-4943.82372664663,1492.5046720284,-636.06175362855,1667.67065765813,460.895767998823,1031.60890402958,14226.4216544088,-4556.45632546393,-6515.14904452721,1667.67065765813,291.022061405144,-4847.47838686908,8973.88543054871,2224.40551880826,-636.06175362855,2553.78270221154,306.684570225275,1917.72094858299,9469.24258383578,-3824.55547868407,-6515.14904452721,2553.78270221154,136.810863631596,-3961.36634231567,4216.70635997571,5931.19251398584,-636.061753628551,5956.12009062748,611.134176986913,5320.05833699893,18887.6611313682,-117.768483506492,-6515.14904452721,5956.12009062748,441.260470393234,-559.028953899726,13635.1249075082,2156.98694560249,-636.06175362855,2364.42870844649,428.619990784558,1728.36695481794,13222.2122418873,-3891.97405188984,-6515.14904452721,2364.42870844649,258.74628419088,-4150.72033608072,7969.67601802721
"25",-609.089628773805,-618.983103670371,-4.35432904648815,14.247803943054,-623.337432716859,439.465340398041,-6670.13006840857,-6509.86051967235,-4.35432904648815,-155.915219689727,-6514.21484871884,-4813.07088346203,2053.28880219733,-618.983103670373,2093.08730756252,579.18459830518,1474.10420389215,17917.2790295386,-4007.75163743744,-6509.86051967235,2093.08730756252,409.021574672399,-4416.77321210983,12664.7428056785,2993.28036358458,-618.983103670373,3226.44014857722,385.82331867773,2607.45704490685,11910.517515547,-3067.76007605018,-6509.86051967235,3226.44014857722,215.660295044948,-3283.42037109513,6657.98129168689,7616.77249118766,-618.983103670372,7469.17077079982,766.584824058205,6850.18766712945,23662.6728530596,1555.73205155289,-6509.86051967235,7469.17077079982,596.421800425424,959.310251127469,18410.1366291996,2903.99391368799,-618.983103670373,2980.22909169683,542.747925661539,2361.24598802646,16758.6842999677,-3157.04652594677,-6509.86051967235,2980.22909169683,372.584902028758,-3529.63142797553,11506.1480761077
"30",-607.135912088735,-618.319040609047,-5.31075912199412,16.4938876423037,-623.629799731041,507.319158249145,-6678.98142061088,-6519.0196156181,-5.31075912199412,-154.651045870789,-6524.33037474009,-4745.21706561092,2594.22410972325,-618.319040609047,2514.28233390542,698.260816426877,1895.96329329637,21370.0384595787,-3477.62139879889,-6519.0196156181,2514.28233390542,527.115882913785,-4004.73728171268,16117.5022357186,3698.88231604258,-618.319040609045,3851.50427132938,465.697085322249,3233.18523072033,14299.0730796944,-2372.96319247957,-6519.0196156181,3851.50427132938,294.552151809156,-2667.51534428872,9046.53685583433,9263.14838253382,-618.319040609046,8956.7115327043,924.755890438573,8338.39249209525,28386.411564182,3191.30287401168,-6519.0196156181,8956.7115327043,753.61095692548,2437.6919170862,23133.8753403219,3607.55356173481,-618.319040609045,3572.74642043482,653.12618190903,2954.42737982578,20076.71963416,-2464.29194678734,-6519.0196156181,3572.74642043482,481.981248395937,-2946.27319518327,14824.1834102999
"35",-601.985381057246,-615.090318660999,-6.15764398845022,19.262581592202,-621.24796264945,586.214978107273,-6673.88883219296,-6515.20574674054,-6.15764398845022,-152.525441463974,-6521.36339072899,-4666.3212457528,3169.88170924212,-615.090318660998,2956.57962667636,828.392401226759,2341.48930801537,25263.9736224494,-2902.0217418936,-6515.20574674054,2956.57962667636,656.604378170583,-3558.62612006418,20011.4373985893,4462.13439826532,-615.090318660998,4530.48202343306,546.74269349326,3915.39170477206,16706.2915784485,-1609.7690528704,-6515.20574674054,4530.48202343306,374.954670437085,-1984.72372330748,11453.7553545884,10919.9835965108,-615.090318660998,10451.4481380412,1083.62577713063,9836.35781938016,33130.3134511887,4848.08014537507,-6515.20574674054,10451.4481380412,911.837754074452,3936.24239130062,27877.7772273286,4336.91612273075,-615.090318660999,4181.53425380085,770.472187590897,3566.44393513985,23550.3389976,-1734.98732840497,-6515.20574674054,4181.53425380085,598.684164534722,-2333.67149293969,18297.8027737399
"40",-602.657644077486,-616.878660215461,-7.46860629948333,21.6896224374586,-624.347266514945,665.668185439419,-6659.79025500668,-6503.12318287412,-7.46860629948333,-149.198465833073,-6510.59178917361,-4586.86803842065,3785.04206695876,-616.878660215463,3474.16557107933,927.755156094894,2857.28691086386,28469.5199958734,-2272.09054397043,-6503.12318287413,3474.16557107933,756.867067824363,-3028.9576117948,23216.9837720133,5199.54022683939,-616.878660215461,5197.28932760464,619.129559450215,4580.41066738917,19033.4847337763,-857.592384089803,-6503.12318287412,5197.28932760464,448.241471179683,-1305.83385526949,13780.9485099162,12539.6797881212,-616.878660215462,11925.090105557,1231.46834277971,11308.2114453415,37850.2237926393,6482.54717719201,-6503.12318287412,11925.090105557,1060.58025450918,5421.96692268283,32597.6875687792,5023.97122272419,-616.878660215463,4768.3201037364,872.529779203251,4151.44144352094,26816.4813927421,-1033.161388205,-6503.12318287412,4768.3201037364,701.641690932719,-1734.80307913772,21563.9451688821
"45",-612.604733053668,-628.913668370735,-8.11565397668346,24.4245892937515,-637.029322347418,754.609194711273,-6666.07411651282,-6511.50740721636,-8.11565397668346,-146.451055319782,-6519.62306119304,-4497.9270291488,4183.60222720313,-628.913668370735,3765.64835752583,1046.86753804804,3136.73468915509,32193.5342338734,-1869.86715625602,-6511.50740721636,3765.64835752583,875.991893434506,-2745.85904969053,26940.9980100133,5841.25229915723,-628.913668370735,5772.93001307143,697.235954456535,5144.01634470069,21448.2036059436,-212.21708430193,-6511.50740721636,5772.93001307143,526.360309843002,-738.577394144932,16195.6673820836,14192.9716472811,-628.913668370735,13435.9027827541,1385.98253289776,12806.9891143833,42604.1170742332,8139.50226382193,-6511.50740721636,13435.9027827541,1215.10688828423,6924.39537553771,37351.5808503731,5730.21219206302,-628.913668370735,5374.57749155249,984.548368881259,4745.66382318176,30262.7250998497,-323.257191396136,-6511.50740721636,5374.57749155249,813.672724267726,-1136.92991566387,25010.1888759896
"50",-597.762983369859,-617.166601634868,-8.91193739773917,28.3155556627471,-626.078539032607,866.857292052839,-6666.42059422677,-6514.99679695546,-8.91193739773917,-142.511859873565,-6523.9087343532,-4385.67893180723,4753.66982128153,-617.166601634868,4200.83840478258,1169.99801813381,3583.67180314771,36016.9845625218,-1314.98778957537,-6514.99679695546,4200.83840478258,999.170602597502,-2314.15839217288,30764.4483386618,6612.93029076685,-617.166601634868,6454.1606967843,775.936195617422,5836.99409514943,23854.1776365678,544.272679909944,-6514.99679695546,6454.1606967843,605.10878008111,-60.8361001711655,18601.6414127078,15864.5117083175,-617.166601634867,14941.4638591758,1540.21445077664,14324.2972575409,47359.5023895347,9795.85409746063,-6514.99679695546,14941.4638591758,1369.38703524033,8426.4670622203,42106.9661656746,6462.12103166774,-617.166601634866,5982.50887229199,1096.77876101061,5365.34227065712,33727.5648566531,393.463420810829,-6514.99679695546,5982.50887229199,925.951345474301,-532.487924663472,28475.028632793
"55",-602.760226278035,-621.554718924373,-9.72188289641599,28.5163755427559,-631.276601820789,877.396532748564,-6671.56901648398,-6518.77342996366,-9.72188289641599,-143.073703623911,-6528.49531286007,-4375.13969111151,5347.22030351215,-621.554718924373,4678.90587160475,1289.86915083176,4057.35115268038,39389.6156289043,-721.588486693803,-6518.77342996366,4678.90587160475,1118.2790716651,-1839.8675583589,34137.0794050442,7327.53452295711,-621.554718924373,7094.35747268364,854.731769197843,6472.80275375927,26164.979908319,1258.72573275116,-6518.77342996366,7094.35747268364,683.141690031176,575.584042719987,20912.4436844589,17476.7305627281,-621.554718924373,16398.8037805424,1699.48150111009,15777.2490616181,52029.1836837889,11407.9217725222,-6518.77342996366,16398.8037805424,1527.89142194342,9880.03035057878,46776.6474599288,7128.11960700014,-621.554718924373,6548.51950015196,1201.15482577255,5926.96478122759,36793.2168567501,1059.31081679419,-6518.77342996366,6548.51950015196,1029.56474660588,29.7460701883065,31540.68063289
"60",-590.205553220367,-611.413582486068,-11.6829247811766,32.8909540468758,-623.096507267244,1028.62924704732,-6654.683188591,-6506.41422184081,-11.6829247811766,-136.586041969023,-6518.09714662198,-4223.90697681275,5777.71855644739,-611.413582486066,4997.23664832011,1391.89549061335,4385.82306583404,42989.9497425464,-286.759078923249,-6506.4142218408,4997.23664832011,1222.41849459745,-1509.1775735207,37737.4135186863,7992.78981258295,-611.413582486068,7680.27169700836,923.931698060653,7068.85811452229,28632.7878684861,1928.31217721231,-6506.41422184081,7680.27169700836,754.454702044755,1173.85747516755,23380.251644626,19136.8551591064,-611.413582486067,17915.9187088948,1832.35003269759,17304.5051264088,56792.7675726229,13072.3775237357,-6506.4142218408,17915.9187088948,1662.8730366817,11409.504487054,51540.2313487628,7834.01144869884,-611.413582486066,7149.28525090265,1296.13978028225,6537.87166841659,40195.8716868569,1769.53381332821,-6506.4142218408,7149.28525090265,1126.66278426636,642.871029061849,34943.3354629968
"65",-614.923950246746,-638.278540785268,-12.180678020246,35.5352685587704,-650.459218805514,1091.95107129667,-6681.16035887997,-6533.59342104648,-12.180678020246,-135.386259813249,-6545.77409906672,-4160.5851525634,6395.69475635654,-638.278540785268,5496.38844134127,1537.58485580055,4858.109900556,47194.0346737811,329.458347723317,-6533.59342104647,5496.38844134127,1366.66332742853,-1037.20497970521,41941.4984499211,8796.57713881403,-638.278540785268,8426.07973802197,1008.77594157733,7787.8011972367,31001.5394485412,2730.3407301808,-6533.59342104647,8426.07973802197,837.854413205309,1892.4863169755,25749.0032246811,20758.2046587839,-638.278540785269,19395.2072646885,2001.2759348806,18756.9287239033,61500.558308812,14691.9682501507,-6533.59342104647,19395.2072646885,1830.35440650858,12861.6138436421,56248.0220849519,8519.86111002714,-638.278540785268,7741.79781897907,1416.34183183333,7103.5192781938,43516.949515359,2453.62470139391,-6533.59342104647,7741.79781897907,1245.42030346131,1208.2043979326,38264.4132914989
"70",-592.436422343515,-617.588694359953,-13.3144603629644,38.4667323793983,-630.903154722917,1169.16677251017,-6647.18003097542,-6497.38884951808,-13.3144603629644,-136.476721094375,-6510.70330988105,-4083.3694513499,7312.85817028164,-617.588694359951,6249.48142717406,1680.96543746753,5631.89273281411,50639.1706566482,1258.11456164973,-6497.38884951808,6249.48142717406,1506.02198399376,-247.907422344024,45386.6344327882,9781.05767946495,-617.588694359951,9286.89599680028,1111.75037702462,8669.30730244033,33406.1652124316,3726.31407083305,-6497.38884951808,9286.89599680028,936.80692355085,2789.5071472822,28153.6289885716,22464.6362286777,-617.588694359952,20875.464521938,2206.76040109964,20257.875827578,66263.4255859522,16409.8926200458,-6497.38884951808,20875.464521938,2031.81694762587,14378.0756724199,61010.8893620922,9305.80017213939,-617.588694359951,8357.56634924182,1565.82251725752,7739.97765488187,47051.5323642804,3251.05656350749,-6497.38884951808,8357.56634924182,1390.87906378375,1860.17749972374,41798.9961404203
"75",-606.315444402386,-631.727278815966,-13.9333970657444,39.3452314793235,-645.660675881711,1211.04268445472,-6660.79881082836,-6515.05950242456,-13.9333970657444,-131.805911338059,-6528.99289949031,-4041.49353940535,7494.98508320158,-631.727278815966,6383.98810201922,1742.72425999833,5752.26082320325,53761.4287847489,1440.50171677561,-6515.05950242456,6383.98810201922,1571.57311718095,-131.071400405344,48508.8925608889,10202.1654027279,-631.727278815966,9673.10373379307,1160.78894775075,9041.37645497711,35673.8990883465,4147.68203630189,-6515.05950242456,9673.10373379307,989.637804933372,3158.04423136851,30421.3628644864,24019.9523673343,-631.727278815965,22342.2205112764,2309.45913487384,21710.4932324605,70902.7031488831,17965.4690009083,-6515.05950242456,22342.2205112764,2138.30799205646,15827.1610088519,65650.166925023,9888.68965183208,-631.727278815966,8899.01795543871,1621.39897520934,8267.29067662274,49900.1401852692,3834.2062854061,-6515.05950242456,8899.01795543871,1450.24783239196,2383.95845301414,44647.6039614091
"80",-596.326386734807,-626.716515704571,-14.8854245001694,45.275553469934,-641.60194020474,1372.20441051319,-6635.56434808567,-6495.12605923415,-14.8854245001694,-125.552864351348,-6510.01148373432,-3880.33181334687,8205.62208728536,-626.716515704573,6956.71608176209,1875.62252122784,6329.99956605752,57807.8607911911,2166.3841259345,-6495.12605923415,6956.71608176209,1704.79410340656,461.59002252794,52555.324567331,11143.9144048268,-626.716515704571,10532.2615764057,1238.3693441257,9905.54506070109,38037.1842113096,5104.67644347592,-6495.12605923415,10532.2615764057,1067.54092630441,4037.13551717151,32784.6479874495,25692.6229162319,-626.716515704571,23858.4339652393,2460.90546669713,23231.7174495347,75627.1126468956,19653.384954881,-6495.12605923415,23858.4339652393,2290.07704887585,17363.3079060051,70374.5764230355,10600.4021832141,-626.716515704571,9491.14419006911,1735.97450884952,8864.42767436454,53210.623088058,4561.1642218632,-6495.12605923415,9491.14419006911,1565.14609102824,2996.01813083496,47958.0868641979
"85",-585.60730904372,-617.463653489884,-14.5758755062561,46.4322199524208,-632.03952899614,1412.75911457304,-6656.95193635104,-6516.32023390062,-14.5758755062561,-126.055826944163,-6530.89610940687,-3839.77710928702,8461.24420132395,-617.463653489884,7113.01030694769,1965.69754786614,6495.54665345781,60044.0620925266,2389.89957401664,-6516.32023390062,7113.01030694769,1793.20950096956,596.690073047072,54791.5258686665,11579.8322358816,-617.463653489884,10869.9721807942,1327.32370857728,10252.5085273043,40428.1223381851,5508.48760857427,-6516.32023390062,10869.9721807942,1154.8356616807,4353.65194689357,35175.586114325,27401.6656142122,-617.463653489884,25377.477301186,2641.65196651609,24760.0136476961,80451.1063236554,21330.3209869049,-6516.32023390062,25377.477301186,2469.1639196195,18861.1570672854,75198.5700997953,11392.5884052031,-617.463653489884,10137.8334024901,1872.21865620288,9520.36974900019,57030.6942495714,5321.24377789575,-6516.32023390062,10137.8334024901,1699.7306093063,3621.51316858945,51778.1580257113
