"Propane: AEO2022 Reference case","Propane: High economic growth","Propane: Low economic growth","Propane: High oil price","Propane: Low oil price","Propane: High oil and gas supply","Propane: Low oil and gas supply","Propane: High renewables cost","Propane: Low renewables cost","Propane: No Interstate Pipeline Builds","Distillate Fuel Oil: AEO2022 Reference case","Distillate Fuel Oil: High economic growth","Distillate Fuel Oil: Low economic growth","Distillate Fuel Oil: High oil price","Distillate Fuel Oil: Low oil price","Distillate Fuel Oil: High oil and gas supply","Distillate Fuel Oil: Low oil and gas supply","Distillate Fuel Oil: High renewables cost","Distillate Fuel Oil: Low renewables cost","Distillate Fuel Oil: No Interstate Pipeline Builds","Natural Gas: AEO2022 Reference case","Natural Gas: High economic growth","Natural Gas: Low economic growth","Natural Gas: High oil price","Natural Gas: Low oil price","Natural Gas: High oil and gas supply","Natural Gas: Low oil and gas supply","Natural Gas: High renewables cost","Natural Gas: Low renewables cost","Natural Gas: No Interstate Pipeline Builds","Electricity: AEO2022 Reference case","Electricity: High economic growth","Electricity: Low economic growth","Electricity: High oil price","Electricity: Low oil price","Electricity: High oil and gas supply","Electricity: Low oil and gas supply","Electricity: High renewables cost","Electricity: Low renewables cost","Electricity: No Interstate Pipeline Builds","year"
"19.182211","19.136848","19.212934","19.182211","19.182211","19.182211","19.182211","19.182211","19.182211","19.182211","17.199303","17.158630","17.226851","17.199303","17.199303","17.199303","17.199303","17.199303","17.199303","17.199303"," 9.788699"," 9.765551"," 9.804378"," 9.788699"," 9.788699"," 9.788699"," 9.788699"," 9.788699"," 9.788699"," 9.788699","39.783447","39.718491","39.862122","39.843826","39.833782","39.799709","39.846455","39.804947","39.812252","39.791718",2021
"20.74110","20.74777","20.69747","23.56191","16.58874","20.47378","21.16551","20.75547","20.72712","20.74129","16.88884","16.84891","16.91589","25.40384","10.67050","16.88884","16.88884","16.88884","16.88884","16.88884","10.26251","10.24819","10.31156","10.31250","10.22879","10.01817","10.97621","10.26561","10.41907","10.38810","39.13081","38.78614","38.83807","38.71606","38.84005","38.77327","38.91433","38.81356","38.83181","39.13923",2022
"20.560612","20.576353","20.457794","26.425701","15.204876","19.867771","21.528704","20.562853","20.548464","20.542377","15.599642","15.372989","15.352766","26.786674","10.381672","15.187267","15.564903","15.451458","15.601386","15.613338"," 8.989360"," 8.988922"," 9.019135"," 8.798724"," 9.116505"," 8.588581"," 9.837063"," 8.990035"," 9.098429"," 9.065510","38.557384","38.590874","38.213215","38.198021","38.424057","38.154305","38.699074","38.391945","38.376331","38.549545",2023
"20.601107","20.677385","20.456450","28.112951","14.656806","19.320505","22.375919","20.639406","20.579784","20.555328","16.388891","16.322685","16.061958","27.683777","10.366941","15.471465","16.723190","16.269638","16.370430","16.380281"," 8.643276"," 8.659486"," 8.663517"," 8.428553"," 9.065219"," 8.157432"," 9.814022"," 8.658460"," 8.721004"," 8.696977","37.593887","37.804382","37.389980","37.402557","37.794483","37.001217","38.761822","37.570469","37.552837","37.694370",2024
"20.550188","20.741409","20.398619","29.160255","14.437696","18.848232","23.148703","20.657021","20.535982","20.491671","16.140856","16.159391","15.883124","27.847523","10.228580","15.201159","16.813507","16.064804","16.157009","16.155909"," 8.465326"," 8.514177"," 8.447534"," 8.303821"," 8.872255"," 7.924839"," 9.680330"," 8.485780"," 8.525385"," 8.525773","37.387390","37.578850","37.228191","36.917446","37.824184","36.677261","38.459778","37.381653","37.302979","37.253288",2025
"20.626265","20.884703","20.439882","29.926565","14.361799","18.564768","23.899971","20.777349","20.605854","20.577053","16.007343","16.093527","15.721136","28.193539"," 9.933024","15.034397","16.820606","15.889264","16.011839","16.014574"," 8.444197"," 8.484672"," 8.396932"," 8.253949"," 8.749536"," 7.859160"," 9.783117"," 8.472855"," 8.482673"," 8.459252","37.124191","37.267841","37.173206","36.756920","37.441319","36.619129","38.389641","37.184818","37.021461","37.217091",2026
"20.907789","21.223946","20.646786","30.682121","14.303670","18.456251","24.642805","21.087366","20.846386","20.873886","15.977002","16.232685","15.687805","28.258574"," 9.465058","15.044518","16.931425","15.895231","15.976546","15.987108"," 8.519577"," 8.550049"," 8.429482"," 8.330755"," 8.774626"," 7.887145"," 9.893027"," 8.566888"," 8.507482"," 8.571451","36.993977","37.150677","36.847607","36.542103","37.206226","36.322296","38.584045","37.103870","36.801861","37.124554",2027
"21.375328","21.678549","21.038898","31.560616","14.474545","18.544281","25.454351","21.558558","21.318489","21.336817","16.206907","16.351091","15.824308","28.578957"," 9.701070","15.220972","17.442600","16.066019","16.214449","16.216316"," 8.676479"," 8.694446"," 8.612314"," 8.477854"," 8.897554"," 8.028516","10.187806"," 8.741086"," 8.691192"," 8.729707","36.924202","37.070438","36.575214","36.191486","37.147583","35.932789","38.882824","37.057816","36.711529","36.916042",2028
"21.817360","22.165739","21.500677","32.468658","14.647712","18.757029","26.629509","22.062370","21.781454","21.827272","16.337620","16.469942","15.928766","28.847057"," 9.737821","15.293749","18.388762","16.170414","16.322002","16.322834"," 8.895694"," 8.862784"," 8.806726"," 8.703083"," 9.011846"," 8.162029","10.611592"," 8.936599"," 8.865874"," 8.918308","36.763218","37.161129","36.638958","36.183636","37.193127","35.894859","39.226357","37.167500","36.811710","37.215313",2029
"22.274523","22.691292","21.929127","33.305153","14.835839","18.972319","27.668453","22.522356","22.217024","22.308531","16.332701","16.703302","15.947251","28.794199"," 9.839454","15.275067","18.683432","16.206791","16.363314","16.351295"," 8.978144"," 8.939653"," 8.942653"," 8.842310"," 9.043442"," 8.254804","10.815236"," 9.086459"," 8.937219"," 9.097618","37.221180","37.293964","36.653229","36.136692","37.210884","35.812325","39.602837","37.219551","37.114281","37.364014",2030
"22.714251","23.173401","22.349989","34.028687","15.037906","19.164595","28.636223","22.960449","22.593470","22.762905","16.634474","16.918169","16.139078","28.422798"," 9.886937","15.328903","19.066257","16.474428","16.665123","16.651632"," 9.087684"," 9.024920"," 9.055266"," 8.970546"," 9.132243"," 8.320578","11.108220"," 9.167384"," 8.968000"," 9.212817","37.232193","37.425724","36.611443","36.084057","37.266167","35.753143","39.597561","37.244221","37.070930","37.362537",2031
"23.108679","23.709587","22.736935","34.650307","15.252697","19.471653","29.539536","23.437307","22.922272","23.217211","16.791132","17.216309","16.323380","28.531471"," 9.973192","15.422051","19.408895","16.713982","16.775774","16.815748"," 9.127824"," 9.131423"," 9.082304"," 9.072688"," 9.190991"," 8.349319","11.343896"," 9.246666"," 9.002693"," 9.293539","37.295437","37.873856","36.649109","36.047619","37.367012","35.681210","39.874660","37.317692","37.053768","37.543446",2032
