"Table 3.  Energy Prices by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2022&region=1-3&cases=ref2022~highmacro~lowmacro~highprice~lowprice~highogs~lowogs~hirencst~lorencst~ng_iif_final&start=2020&end=2050&f=A&linechart=ref2022-d011222a.3-3-AEO2022.1-3~highmacro-d011622a.3-3-AEO2022.1-3~lowmacro-d011222a.3-3-AEO2022.1-3~highprice-d011222a.3-3-AEO2022.1-3~lowprice-d011222a.3-3-AEO2022.1-3~highogs-d011222a.3-3-AEO2022.1-3~lowogs-d011222a.3-3-AEO2022.1-3~hirencst-d011322a.3-3-AEO2022.1-3~lorencst-d011222a.3-3-AEO2022.1-3~ng_iif_final-d011322a.3-3-AEO2022.1-3~ref2022-d011222a.4-3-AEO2022.1-3~highmacro-d011622a.4-3-AEO2022.1-3~lowmacro-d011222a.4-3-AEO2022.1-3~highprice-d011222a.4-3-AEO2022.1-3~lowprice-d011222a.4-3-AEO2022.1-3~highogs-d011222a.4-3-AEO2022.1-3~lowogs-d011222a.4-3-AEO2022.1-3~hirencst-d011322a.4-3-AEO2022.1-3~lorencst-d011222a.4-3-AEO2022.1-3~ng_iif_final-d011322a.4-3-AEO2022.1-3~ref2022-d011222a.5-3-AEO2022.1-3~highmacro-d011622a.5-3-AEO2022.1-3~lowmacro-d011222a.5-3-AEO2022.1-3~highprice-d011222a.5-3-AEO2022.1-3~lowprice-d011222a.5-3-AEO2022.1-3~highogs-d011222a.5-3-AEO2022.1-3~lowogs-d011222a.5-3-AEO2022.1-3~hirencst-d011322a.5-3-AEO2022.1-3~lorencst-d011222a.5-3-AEO2022.1-3~ng_iif_final-d011322a.5-3-AEO2022.1-3~ref2022-d011222a.6-3-AEO2022.1-3~highmacro-d011622a.6-3-AEO2022.1-3~lowmacro-d011222a.6-3-AEO2022.1-3~highprice-d011222a.6-3-AEO2022.1-3~lowprice-d011222a.6-3-AEO2022.1-3~highogs-d011222a.6-3-AEO2022.1-3~lowogs-d011222a.6-3-AEO2022.1-3~hirencst-d011322a.6-3-AEO2022.1-3~lorencst-d011222a.6-3-AEO2022.1-3~ng_iif_final-d011322a.6-3-AEO2022.1-3&map=highmacro-d011622a.3-3-AEO2022.1-3&sourcekey=0"
"Tue Apr 26 2022 15:21:48 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2021-2050)"
Residential,,3-AEO2022.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Prices: Residential: Propane",3-AEO2022.3.,"2021 $/MMBtu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Prices: Residential: Propane": AEO2022 Reference case,3-AEO2022.3.ref2022-d011222a,"2021 $/MMBtu",,19.182211,20.741095,20.560612,20.601107,20.550188,20.626265,20.907789,21.375328,21.81736,22.274523,22.714251,23.108679,23.476015,23.76165,23.977812,24.184359,24.408386,24.628006,24.790752,25.054077,25.283079,25.406424,25.586544,25.805683,25.928717,26.060963,26.16894,26.244484,26.268423,26.26655,"1.1%"
High economic growth,"Energy Prices: Residential: Propane": High economic growth,3-AEO2022.3.highmacro-d011622a,"2021 $/MMBtu",,19.136848,20.747772,20.576353,20.677385,20.741409,20.884703,21.223946,21.678549,22.165739,22.691292,23.173401,23.709587,24.114403,24.429243,24.66757,24.865847,25.091543,25.260143,25.436411,25.664051,25.942589,26.223005,26.531832,26.772699,26.941975,27.151966,27.261572,27.363791,27.517315,27.685989,"1.3%"
Low economic growth,"Energy Prices: Residential: Propane": Low economic growth,3-AEO2022.3.lowmacro-d011222a,"2021 $/MMBtu",,19.212934,20.697468,20.457794,20.45645,20.398619,20.439882,20.646786,21.038898,21.500677,21.929127,22.349989,22.736935,23.129324,23.402578,23.553688,23.651897,23.818274,24.01552,24.167269,24.417294,24.677414,24.920963,25.23801,25.526764,25.644875,25.622471,25.5413,25.478289,25.458689,25.406076,"1.0%"
High oil price,"Energy Prices: Residential: Propane": High oil price,3-AEO2022.3.highprice-d011222a,"2021 $/MMBtu",,19.182211,23.561907,26.425701,28.112951,29.160255,29.926565,30.682121,31.560616,32.468658,33.305153,34.028687,34.650307,35.119789,35.403969,35.703278,35.945595,36.226791,36.567329,36.920895,37.364002,37.652527,37.907536,38.106907,38.227901,38.422474,38.56102,38.786335,38.995174,39.256916,39.531384,"2.5%"
Low oil price,"Energy Prices: Residential: Propane": Low oil price,3-AEO2022.3.lowprice-d011222a,"2021 $/MMBtu",,19.182211,16.588736,15.204876,14.656806,14.437696,14.361799,14.30367,14.474545,14.647712,14.835839,15.037906,15.252697,15.488436,15.700007,15.97828,16.217609,16.4027,16.505201,16.569885,16.559601,16.533791,16.51503,16.477118,16.522717,16.55871,16.578947,16.584728,16.598482,16.604338,16.673019,"-0.5%"
High oil and gas supply,"Energy Prices: Residential: Propane": High oil and gas supply,3-AEO2022.3.highogs-d011222a,"2021 $/MMBtu",,19.182211,20.47378,19.867771,19.320505,18.848232,18.564768,18.456251,18.544281,18.757029,18.972319,19.164595,19.471653,19.815725,20.027491,20.134943,20.230017,20.371336,20.571587,20.70196,20.932779,21.086159,21.187208,21.271463,21.327757,21.370878,21.381887,21.341728,21.284302,21.315737,21.339125,"0.4%"
Low oil and gas supply,"Energy Prices: Residential: Propane": Low oil and gas supply,3-AEO2022.3.lowogs-d011222a,"2021 $/MMBtu",,19.182211,21.165512,21.528704,22.375919,23.148703,23.899971,24.642805,25.454351,26.629509,27.668453,28.636223,29.539536,30.336594,31.017202,31.494949,32.035553,32.452305,32.86462,33.262718,33.489628,33.612545,33.671398,33.819466,34.102833,34.450951,34.729935,34.95005,35.088276,35.260899,35.356812,"2.1%"
High renewables cost,"Energy Prices: Residential: Propane": High renewables cost,3-AEO2022.3.hirencst-d011322a,"2021 $/MMBtu",,19.182211,20.755466,20.562853,20.639406,20.657021,20.777349,21.087366,21.558558,22.06237,22.522356,22.960449,23.437307,23.840134,24.169216,24.39872,24.621264,24.821915,25.012857,25.168814,25.424889,25.608181,25.727407,25.907951,26.133438,26.306007,26.503281,26.65686,26.737423,26.777842,26.802921,"1.2%"
