Utility.ID,Utility.Name,Month,Rate
23,Adams-Columbia Electric Coop,1,0.1120 
23,Adams-Columbia Electric Coop,2,0.1120 
23,Adams-Columbia Electric Coop,3,0.1120 
23,Adams-Columbia Electric Coop,4,0.1120 
23,Adams-Columbia Electric Coop,5,0.1120 
23,Adams-Columbia Electric Coop,6,0.1120 
23,Adams-Columbia Electric Coop,7,0.1120 
23,Adams-Columbia Electric Coop,8,0.1120 
23,Adams-Columbia Electric Coop,9,0.1120 
23,Adams-Columbia Electric Coop,10,0.1120 
23,Adams-Columbia Electric Coop,11,0.1120 
23,Adams-Columbia Electric Coop,12,0.1120 
378,Barron Electric Coop,1,0.1343 
378,Barron Electric Coop,2,0.1343 
378,Barron Electric Coop,3,0.1343 
378,Barron Electric Coop,4,0.1343 
378,Barron Electric Coop,5,0.1343 
378,Barron Electric Coop,6,0.1343 
378,Barron Electric Coop,7,0.1343 
378,Barron Electric Coop,8,0.1343 
378,Barron Electric Coop,9,0.1343 
378,Barron Electric Coop,10,0.1343 
378,Barron Electric Coop,11,0.1343 
378,Barron Electric Coop,12,0.1343 
383,"Bayfield Electric Coop, Inc",1,0.1250 
383,"Bayfield Electric Coop, Inc",2,0.1250 
383,"Bayfield Electric Coop, Inc",3,0.1250 
383,"Bayfield Electric Coop, Inc",4,0.1250 
383,"Bayfield Electric Coop, Inc",5,0.1250 
383,"Bayfield Electric Coop, Inc",6,0.1400 
383,"Bayfield Electric Coop, Inc",7,0.1400 
383,"Bayfield Electric Coop, Inc",8,0.1400 
383,"Bayfield Electric Coop, Inc",9,0.1250 
383,"Bayfield Electric Coop, Inc",10,0.1250 
383,"Bayfield Electric Coop, Inc",11,0.1250 
383,"Bayfield Electric Coop, Inc",12,0.1250 
1030,Central Wisconsin Elec Coop,1,0.1371 
1030,Central Wisconsin Elec Coop,2,0.1371 
1030,Central Wisconsin Elec Coop,3,0.1371 
1030,Central Wisconsin Elec Coop,4,0.1371 
1030,Central Wisconsin Elec Coop,5,0.1371 
1030,Central Wisconsin Elec Coop,6,0.1371 
1030,Central Wisconsin Elec Coop,7,0.1371 
1030,Central Wisconsin Elec Coop,8,0.1371 
1030,Central Wisconsin Elec Coop,9,0.1371 
1030,Central Wisconsin Elec Coop,10,0.1371 
1030,Central Wisconsin Elec Coop,11,0.1371 
1030,Central Wisconsin Elec Coop,12,0.1371 
1127,Chippewa Valley Electric Coop,1,0.1102 
1127,Chippewa Valley Electric Coop,2,0.1102 
1128,Chippewa Valley Electric Coop,3,0.1102 
1129,Chippewa Valley Electric Coop,4,0.1102 
1130,Chippewa Valley Electric Coop,5,0.1102 
1131,Chippewa Valley Electric Coop,6,0.1267 
1132,Chippewa Valley Electric Coop,7,0.1267 
1133,Chippewa Valley Electric Coop,8,0.1267 
1134,Chippewa Valley Electric Coop,9,0.1102 
1135,Chippewa Valley Electric Coop,10,0.1102 
1136,Chippewa Valley Electric Coop,11,0.1102 
1137,Chippewa Valley Electric Coop,12,0.1102 
1144,Clark Electric Coop,1,0.1070 
