Utility ID,Utility Name,Bill Date,Energy Charge (per kWh),PCAC/FAC Charge (per kWh),Total Charge (per/kWh)
50,Algoma Utility Commission,1/29/21,0.1131,-0.0139,0.0992
50,Algoma Utility Commission,2/26/21,0.1131,-0.0137,0.0994
50,Algoma Utility Commission,3/31/21,0.1131,-0.0163,0.0968
50,Algoma Utility Commission,4/30/21,0.1131,-0.0124,0.1007
50,Algoma Utility Commission,5/28/21,0.1131,-0.0128,0.1003
50,Algoma Utility Commission,6/30/21,0.1131,-0.0133,0.0998
50,Algoma Utility Commission,7/30/21,0.1131,0.0101,0.1232
50,Algoma Utility Commission,8/31/21,0.1131,0.0029,0.116
50,Algoma Utility Commission,9/30/21,0.1131,0.0059,0.119
50,Algoma Utility Commission,10/29/21,0.1131,0.0002,0.1133
50,Algoma Utility Commission,11/30/21,0.1131,-0.0009,0.1122
50,Algoma Utility Commission,12/29/21,0.1131,0.0038,0.1169
50,Algoma Utility Commission,1/31/22,0.1131,-0.0068,0.1063
50,Algoma Utility Commission,2/28/22,0.1131,-0.0092,0.1039
210,Arcadia Electric and Water Utility,1/6/21,0.099,-0.0011,0.0979
210,Arcadia Electric and Water Utility,2/3/21,0.099,-0.0017,0.0973
210,Arcadia Electric and Water Utility,3/3/21,0.099,-0.0017,0.0973
210,Arcadia Electric and Water Utility,4/2/21,0.099,-0.0068,0.0922
210,Arcadia Electric and Water Utility,5/5/21,0.099,0.0027,0.1017
210,Arcadia Electric and Water Utility,6/2/21,0.099,-0.0001,0.0989
210,Arcadia Electric and Water Utility,7/2/21,0.099,-0.0005,0.0985
210,Arcadia Electric and Water Utility,8/4/21,0.099,0.0019,0.1009
210,Arcadia Electric and Water Utility,9/2/21,0.099,-0.0013,0.0977
210,Arcadia Electric and Water Utility,10/5/21,0.099,-0.0022,0.0968
210,Arcadia Electric and Water Utility,11/3/21,0.099,0.0045,0.1035
210,Arcadia Electric and Water Utility,12/2/21,0.099,0.0091,0.1081
210,Arcadia Electric and Water Utility,1/4/22,0.099,0.0026,0.1016
210,Arcadia Electric and Water Utility,2/2/22,0.099,-0.0005,0.0985
210,Arcadia Electric and Water Utility,3/3/22,0.099,0.0042,0.1032
230,Argyle Municipal Electric and Water Utility,1/29/21,0.0934,-0.0063,0.0871
230,Argyle Municipal Electric and Water Utility,2/28/21,0.0934,-0.0082,0.0852
230,Argyle Municipal Electric and Water Utility,3/31/21,0.0934,-0.0093,0.0841
230,Argyle Municipal Electric and Water Utility,4/30/21,0.0934,-0.0074,0.086
230,Argyle Municipal Electric and Water Utility,5/31/21,0.0934,-0.0073,0.0861
230,Argyle Municipal Electric and Water Utility,6/30/21,0.0934,-0.001,0.0924
230,Argyle Municipal Electric and Water Utility,7/31/21,0.0934,-0.012,0.0814
230,Argyle Municipal Electric and Water Utility,8/31/21,0.0934,-0.0058,0.0876
230,Argyle Municipal Electric and Water Utility,9/30/21,0.0934,-0.006,0.0874
230,Argyle Municipal Electric and Water Utility,10/31/21,0.0934,-0.0026,0.0908
230,Argyle Municipal Electric and Water Utility,11/30/21,0.0934,0.0082,0.1016
230,Argyle Municipal Electric and Water Utility,12/31/21,0.0934,-0.0077,0.0857
230,Argyle Municipal Electric and Water Utility,1/31/22,0.0934,-0.0043,0.0891
230,Argyle Municipal Electric and Water Utility,2/28/22,0.0934,-0.0056,0.0878
350,Bangor Municipal Utility,1/31/21,0.1047,0.0035,0.1082
350,Bangor Municipal Utility,2/28/21,0.1047,0.0028,0.1075
350,Bangor Municipal Utility,3/31/21,0.1047,0.0035,0.1082
350,Bangor Municipal Utility,4/30/21,0.1047,0.0035,0.1082
350,Bangor Municipal Utility,5/31/21,0.1047,0.0035,0.1082
350,Bangor Municipal Utility,6/30/21,0.1225,0.0035,0.126
350,Bangor Municipal Utility,7/31/21,0.1225,0.0035,0.126
350,Bangor Municipal Utility,8/31/21,0.1225,0.0035,0.126
350,Bangor Municipal Utility,9/30/21,0.1225,0.0035,0.126
350,Bangor Municipal Utility,10/31/21,0.1225,0.0035,0.126
350,Bangor Municipal Utility,11/30/21,0.1225,0.0035,0.126
350,Bangor Municipal Utility,12/31/21,0.1225,0.0035,0.126
350,Bangor Municipal Utility,1/31/22,0.1225,0.0035,0.126
350,Bangor Municipal Utility,2/28/22,0.1225,0.0025,0.125
380,Barron Light And Water Utility,1/1/21,0.086,-0.0029,0.0831
380,Barron Light And Water Utility,2/1/21,0.086,0.0014,0.0874
380,Barron Light And Water Utility,3/1/21,0.086,-0.0006,0.0854
380,Barron Light And Water Utility,4/1/21,0.086,-0.0041,0.0819
380,Barron Light And Water Utility,5/1/21,0.086,0.0037,0.0897
380,Barron Light And Water Utility,6/1/21,0.086,0.0016,0.0876
380,Barron Light And Water Utility,7/1/21,0.086,0.0014,0.0874
380,Barron Light And Water Utility,8/1/21,0.086,0.0017,0.0877
380,Barron Light And Water Utility,9/1/21,0.086,0.0087,0.0947
