"Year","Month","Utility.Code","Customer.Class","Revenue","Therms","Customers","utility"
"2019",6,3270,7,3990000,2202000,145079,"Madison Gas and Electric"
"2019",7,3270,7,3841000,1724000,144661,"Madison Gas and Electric"
"2019",8,3270,7,3287000,1948000,143457,"Madison Gas and Electric"
"2019",9,3270,7,3822000,1979000,146622,"Madison Gas and Electric"
"2019",10,3270,7,5577000,6352000,144137,"Madison Gas and Electric"
"2019",11,3270,7,10347000,14357000,139445,"Madison Gas and Electric"
"2019",12,3270,7,11297000,15579000,144101,"Madison Gas and Electric"
"2020",1,3270,7,12519000,18082000,150916,"Madison Gas and Electric"
"2020",2,3270,7,11580000,16526000,147835,"Madison Gas and Electric"
"2020",3,3270,7,8818000,12094000,140746,"Madison Gas and Electric"
"2020",4,3270,7,6126000,8298000,144181,"Madison Gas and Electric"
"2020",5,3270,7,5095000,4624000,145257,"Madison Gas and Electric"
"2020",6,3270,7,3915000,2061000,142718,"Madison Gas and Electric"
"2020",7,3270,7,3933000,1875000,147334,"Madison Gas and Electric"
"2020",8,3270,7,4048000,2032000,150127,"Madison Gas and Electric"
"2020",9,3270,7,4285000,2573000,148188,"Madison Gas and Electric"
"2020",10,3270,7,6299000,7462000,144620,"Madison Gas and Electric"
"2020",11,3270,7,8669000,9678000,141799,"Madison Gas and Electric"
"2020",12,3270,7,12223000,16850000,146935,"Madison Gas and Electric"
"2021",1,3270,7,13513000,18773000,154303,"Madison Gas and Electric"
"2021",2,3270,7,14481000,20173000,145355,"Madison Gas and Electric"
"2021",3,3270,7,11259000,11258000,140098,"Madison Gas and Electric"
"2021",4,3270,7,7206000,6509000,150557,"Madison Gas and Electric"
"2021",5,3270,7,5872000,3835000,148530,"Madison Gas and Electric"
"2021",6,3270,7,4593000,2089000,144116,"Madison Gas and Electric"
"2019",6,4220,7,2285000,1516000,102623,"Xcel (NSP)"
"2019",7,4220,7,1984000,962000,102555,"Xcel (NSP)"
"2019",8,4220,7,1908000,986000,102593,"Xcel (NSP)"
"2019",9,4220,7,2093000,1198000,102704,"Xcel (NSP)"
"2019",10,4220,7,3968000,4262000,102911,"Xcel (NSP)"
"2019",11,4220,7,8634000,10083000,103156,"Xcel (NSP)"
"2019",12,4220,7,9752000,11626000,103320,"Xcel (NSP)"
"2020",1,4220,7,10771000,13131000,103447,"Xcel (NSP)"
"2020",2,4220,7,9141000,11809000,103544,"Xcel (NSP)"
"2020",3,4220,7,6570000,7644000,103608,"Xcel (NSP)"
"2020",4,4220,7,5132000,5867000,103688,"Xcel (NSP)"
"2020",5,4220,7,3278000,3338000,103811,"Xcel (NSP)"
"2020",6,4220,7,2350000,1677000,103950,"Xcel (NSP)"
"2020",7,4220,7,1892000,1001000,104054,"Xcel (NSP)"
"2020",8,4220,7,2010000,1070000,104123,"Xcel (NSP)"
"2020",9,4220,7,2388000,1671000,104225,"Xcel (NSP)"
"2020",10,4220,7,4231000,5332000,104404,"Xcel (NSP)"
"2020",11,4220,7,7383000,8471000,104583,"Xcel (NSP)"
"2020",12,4220,7,9789000,11835000,104742,"Xcel (NSP)"
"2021",1,4220,7,10246000,12916000,104904,"Xcel (NSP)"
"2021",2,4220,7,10974000,13969000,105050,"Xcel (NSP)"
"2021",3,4220,7,6739000,7799000,105201,"Xcel (NSP)"
"2021",4,4220,7,6932000,5057000,105334,"Xcel (NSP)"
"2021",5,4220,7,5111000,3286000,105431,"Xcel (NSP)"
"2021",6,4220,7,3138000,1470000,105453,"Xcel (NSP)"
"2019",6,5820,7,304000,386000,10980,"Superior Water Power and Light"
"2019",7,5820,7,150000,196000,10986,"Superior Water Power and Light"
"2019",8,5820,7,224000,188000,10981,"Superior Water Power and Light"
"2019",9,5820,7,258000,217000,10974,"Superior Water Power and Light"
"2019",10,5820,7,346000,403000,10984,"Superior Water Power and Light"
"2019",11,5820,7,901000,1195000,10986,"Superior Water Power and Light"
"2019",12,5820,7,1166000,1578000,10996,"Superior Water Power and Light"
"2020",1,5820,7,1194000,1637000,11029,"Superior Water Power and Light"
"2020",2,5820,7,1243000,1637000,11034,"Superior Water Power and Light"
"2020",3,5820,7,827000,1102000,11024,"Superior Water Power and Light"
"2020",4,5820,7,707000,911000,11029,"Superior Water Power and Light"
"2020",5,5820,7,388000,511000,11027,"Superior Water Power and Light"
"2020",6,5820,7,327000,342000,11030,"Superior Water Power and Light"
"2020",7,5820,7,163000,184000,11039,"Superior Water Power and Light"
"2020",8,5820,7,162000,163000,11034,"Superior Water Power and Light"
"2020",9,5820,7,238000,199000,11019,"Superior Water Power and Light"
"2020",10,5820,7,592000,607000,11042,"Superior Water Power and Light"
"2020",11,5820,7,710000,932000,11065,"Superior Water Power and Light"
"2020",12,5820,7,1103000,1448000,11061,"Superior Water Power and Light"
"2021",1,5820,7,1118000,1614000,11091,"Superior Water Power and Light"
"2021",2,5820,7,1355000,1812000,11108,"Superior Water Power and Light"
"2021",3,5820,7,1324000,1213000,11095,"Superior Water Power and Light"
"2021",4,5820,7,1136000,849000,11120,"Superior Water Power and Light"
"2021",5,5820,7,637000,486000,11147,"Superior Water Power and Light"
"2021",6,5820,7,480000,274000,11125,"Superior Water Power and Light"
"2019",6,6650,7,8771000,8559000,554321,"WE Energies/ Wisconsin gas company"
"2019",7,6650,7,9147000,8413000,553533,"WE Energies/ Wisconsin gas company"
"2019",8,6650,7,8970000,7525000,553124,"WE Energies/ Wisconsin gas company"
"2019",9,6650,7,9889000,8825000,553562,"WE Energies/ Wisconsin gas company"
"2019",10,6650,7,23004000,31585000,555051,"WE Energies/ Wisconsin gas company"
"2019",11,6650,7,45905000,62884000,556899,"WE Energies/ Wisconsin gas company"
"2019",12,6650,7,50213000,70037000,557979,"WE Energies/ Wisconsin gas company"
"2020",1,6650,7,55071000,76728000,558658,"WE Energies/ Wisconsin gas company"
"2020",2,6650,7,55950000,75995000,559165,"WE Energies/ Wisconsin gas company"
"2020",3,6650,7,38970000,54061000,559445,"WE Energies/ Wisconsin gas company"
"2020",4,6650,7,28128000,41693000,559599,"WE Energies/ Wisconsin gas company"
"2020",5,6650,7,16251000,21863000,559679,"WE Energies/ Wisconsin gas company"
"2020",6,6650,7,10310000,9796000,559720,"WE Energies/ Wisconsin gas company"
"2020",7,6650,7,8916000,8179000,559675,"WE Energies/ Wisconsin gas company"
"2020",8,6650,7,9424000,7887000,559703,"WE Energies/ Wisconsin gas company"
"2020",9,6650,7,11161000,10882000,559845,"WE Energies/ Wisconsin gas company"
"2020",10,6650,7,23607000,35750000,560408,"WE Energies/ Wisconsin gas company"
"2020",11,6650,7,30897000,39754000,561266,"WE Energies/ Wisconsin gas company"
"2020",12,6650,7,54931000,75615000,561969,"WE Energies/ Wisconsin gas company"
"2021",1,6650,7,58023000,79623000,562540,"WE Energies/ Wisconsin gas company"
"2021",2,6650,7,66276000,86879000,562295,"WE Energies/ Wisconsin gas company"
"2021",3,6650,7,37734000,47683000,561625,"WE Energies/ Wisconsin gas company"
"2021",4,6650,7,37747000,34790000,561319,"WE Energies/ Wisconsin gas company"
"2021",5,6650,7,21765000,16860000,561058,"WE Energies/ Wisconsin gas company"
"2021",6,6650,7,14222000,8781000,560697,"WE Energies/ Wisconsin gas company"
"2019",6,6670,7,7312000,6891000,442701,"WE Energies/Wisconsin Natural Gas"
"2019",7,6670,7,7166000,6853000,442905,"WE Energies/Wisconsin Natural Gas"
"2019",8,6670,7,6816000,6072000,443221,"WE Energies/Wisconsin Natural Gas"
"2019",9,6670,7,7394000,7044000,443588,"WE Energies/Wisconsin Natural Gas"
"2019",10,6670,7,15342000,24290000,444042,"WE Energies/Wisconsin Natural Gas"
"2019",11,6670,7,31199000,51193000,444475,"WE Energies/Wisconsin Natural Gas"
"2019",12,6670,7,32065000,55042000,444770,"WE Energies/Wisconsin Natural Gas"
"2020",1,6670,7,36161000,60977000,445175,"WE Energies/Wisconsin Natural Gas"
"2020",2,6670,7,36687000,61132000,445594,"WE Energies/Wisconsin Natural Gas"
"2020",3,6670,7,25548000,42996000,445832,"WE Energies/Wisconsin Natural Gas"
"2020",4,6670,7,18914000,32832000,445994,"WE Energies/Wisconsin Natural Gas"
"2020",5,6670,7,10914000,16973000,446208,"WE Energies/Wisconsin Natural Gas"
"2020",6,6670,7,8244000,9343000,446357,"WE Energies/Wisconsin Natural Gas"
"2020",7,6670,7,7017000,7110000,446444,"WE Energies/Wisconsin Natural Gas"
"2020",8,6670,7,6903000,6725000,446663,"WE Energies/Wisconsin Natural Gas"
"2020",9,6670,7,8124000,8127000,446995,"WE Energies/Wisconsin Natural Gas"
"2020",10,6670,7,15624000,26999000,447436,"WE Energies/Wisconsin Natural Gas"
"2020",11,6670,7,21946000,30441000,448084,"WE Energies/Wisconsin Natural Gas"
