zipcode,totalcost_low,totalcost_high,systemcost_low,systemcost_high,laborcost_low,laborcost_high,jobsupplycost_low,jobsupplycost_high,price_region
53001,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53002,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53004,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53005,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53006,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53007,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53010,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53011,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53012,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53013,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53014,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53015,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53017,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53018,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53019,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53020,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53021,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53022,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53023,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53024,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53027,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53029,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53032,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53033,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53034,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53035,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53036,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53037,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53038,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53039,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53040,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53042,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53044,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53045,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53046,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53048,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53049,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53050,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53051,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53057,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53058,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53059,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53061,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53062,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53063,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53065,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53066,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53069,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53070,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53072,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53072,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53073,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53074,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53075,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53076,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53078,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53079,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53080,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
