"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","ton","SEER","price_region"
53001,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53002,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53004,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53005,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53006,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53007,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53010,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53011,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53012,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53013,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53014,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53015,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53017,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53018,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53019,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53020,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53021,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53022,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53023,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53024,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53027,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53029,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53032,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53033,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53034,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53035,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53036,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53037,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53038,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53039,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53040,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53042,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53044,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53045,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53046,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53048,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53049,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53050,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53051,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53057,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53058,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53059,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53061,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53062,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53063,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53065,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53066,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53069,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53070,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53072,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53072,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53073,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53074,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53075,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53076,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53078,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53079,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53080,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53081,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53083,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53085,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53086,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53089,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53090,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53091,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53092,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53093,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53094,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53094,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53095,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53097,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53098,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53099,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53103,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53104,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53105,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53108,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53110,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53114,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53115,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53118,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53119,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53120,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53121,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53122,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53125,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53126,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53128,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53129,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53130,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53137,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53139,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53140,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53142,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53143,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53144,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53147,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53149,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53150,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53153,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53154,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53156,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53158,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53158,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53168,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53170,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53172,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
