"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","size","SEER","ton","price_region"
53001,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53002,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53004,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53005,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53006,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53007,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53010,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53011,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53012,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53013,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53014,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53015,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53017,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53018,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53019,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53020,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53021,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53022,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53023,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53024,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53027,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53029,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53032,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53033,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53034,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53035,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53036,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53037,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53038,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53039,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53040,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53042,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53044,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53045,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53046,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53048,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53049,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53050,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53051,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53057,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53058,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53059,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53061,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53062,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53063,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53065,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53066,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53069,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53070,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53072,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53072,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53073,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53074,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53075,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53076,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53078,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53079,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53080,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53081,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53083,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53085,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53086,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53089,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53090,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53091,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53092,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53093,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53094,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53094,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53095,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53097,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53098,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53099,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53103,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53104,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53105,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53108,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
53110,5843.53,7210.74,4151.75,4845.02,1376.21,1985.29,315.57,380.43,0,16,2,1
