"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","SEER","ton","price_region"
53001,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53002,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53004,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53005,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53006,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53007,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53010,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53011,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53012,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53013,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53014,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53015,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53017,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53018,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53019,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53020,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53021,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53022,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53023,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53024,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53027,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53029,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53032,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53033,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53034,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53035,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53036,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53037,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53038,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53039,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53040,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53042,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53044,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53045,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53046,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53048,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53049,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53050,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53051,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53057,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53058,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53059,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53061,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53062,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53063,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53065,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53066,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53069,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53070,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53072,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53072,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53073,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53074,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53075,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53076,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53078,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53079,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53080,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53081,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53083,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53085,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53086,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53089,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53090,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53091,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53092,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53093,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53094,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53094,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53095,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53097,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53098,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53099,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53103,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53104,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53105,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53108,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53110,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53114,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53115,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53118,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53119,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53120,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53121,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53122,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53125,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53126,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53128,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53129,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53130,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53137,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53139,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53140,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53142,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53143,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53144,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53147,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53149,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53150,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53153,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53154,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53156,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
