"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","ton","SEER"
53001,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53002,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53004,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53005,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53006,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53007,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53010,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53011,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53012,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53013,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53014,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53015,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53017,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53018,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53019,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53020,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53021,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53022,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53023,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53024,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53027,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53029,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53032,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53033,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53034,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53035,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53036,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53037,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53038,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53039,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53040,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53042,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53044,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53045,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53046,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53048,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53049,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53050,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53051,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53057,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53058,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53059,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53061,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53062,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53063,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53065,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53066,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53069,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53070,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
