"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","ton","SEER","price_region"
53001,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53002,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53004,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53005,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53006,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53007,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53010,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53011,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53012,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53013,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53014,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53015,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53017,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53018,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53019,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53020,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53021,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53022,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53023,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53024,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53027,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53029,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53032,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53033,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53034,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53035,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53036,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53037,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53038,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53039,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53040,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53042,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53044,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53045,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53046,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53048,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53049,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53050,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53051,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53057,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53058,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53059,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53061,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53062,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53063,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53065,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53066,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53069,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53070,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53072,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53072,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53073,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53074,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53075,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53076,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53078,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53079,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53080,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53081,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53083,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53085,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53086,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53089,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53090,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53091,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53092,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53093,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53094,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53094,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53095,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53097,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53098,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53099,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53103,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53104,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53105,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53108,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53110,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53114,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53115,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53118,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53119,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53120,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53121,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53122,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53125,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53126,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53128,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53129,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53130,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53137,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53139,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
53140,18978.61,22513.78,16424.89,19167.56,1376.21,1985.29,1177.5,1360.93,5,20,1
