"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","size","efficiency"
53001,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53002,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53004,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53005,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53006,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53007,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53010,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53011,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53012,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53013,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53014,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53015,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53017,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53018,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53019,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53020,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53021,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53022,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53023,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53024,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53027,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53029,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53032,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53033,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53034,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53035,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53036,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53037,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53038,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53039,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53040,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53042,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53044,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53045,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53046,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53048,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53049,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53050,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53051,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53057,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53058,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53059,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53061,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53062,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53063,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53065,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53066,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53069,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53070,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53072,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53072,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53073,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53074,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53075,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53076,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53078,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53079,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53080,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53081,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53083,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53085,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53086,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53089,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
