"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","size","efficiency","price_region"
53001,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53002,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53004,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53005,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53006,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53007,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53010,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53011,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53012,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53013,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53014,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53015,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53017,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53018,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53019,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53020,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53021,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53022,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53023,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53024,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53027,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53029,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53032,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53033,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53034,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53035,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53036,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53037,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53038,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53039,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53040,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53042,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53044,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53045,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53046,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53048,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53049,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53050,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53051,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53057,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53058,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53059,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53061,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53062,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53063,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53065,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53066,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53069,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53070,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53072,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53072,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53073,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53074,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53075,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53076,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53078,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53079,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53080,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53081,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53083,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53085,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53086,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53089,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53090,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53091,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53092,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53093,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53094,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53094,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53095,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53097,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53098,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53099,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53103,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53104,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53105,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53108,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53110,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53114,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53115,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53118,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53119,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53120,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53121,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53122,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53125,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53126,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53128,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53129,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53130,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53137,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53139,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53140,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53142,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53143,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53144,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53147,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53149,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53150,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53153,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53154,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53156,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53158,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53158,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
53168,3062.16,3664.45,2290.95,2673.5,679.14,864.77,92.07,126.18,"70K","85%+",1
