date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
1998-01-01 01:00:00,-8.2,88,4.4,190,0,0,0
1998-01-01 02:00:00,-8.1,88,4.8,190,0,0,0
1998-01-01 03:00:00,-7.1,88,5.1,190,0,0,0
1998-01-01 04:00:00,-6.2,86,5.5,190,0,0,0
1998-01-01 05:00:00,-5.7,87,5.9,190,0,0,0
1998-01-01 06:00:00,-4.6,86,6.2,200,0,0,0
1998-01-01 07:00:00,-3.9,86,6.6,200,0,0,0
1998-01-01 08:00:00,-2.8,85,7.0,200,0,39,0
1998-01-01 09:00:00,-0.9,82,7.3,200,122,207,91
1998-01-01 10:00:00,1.0,79,7.7,200,141,101,113
1998-01-01 11:00:00,2.0,68,8.1,180,200,104,163
1998-01-01 12:00:00,3.1,68,7.5,170,313,374,164
1998-01-01 13:00:00,5.1,65,8.4,130,360,574,132
1998-01-01 14:00:00,5.1,66,8.3,120,356,726,100
1998-01-01 15:00:00,5.2,65,9.3,120,236,679,57
1998-01-01 16:00:00,5.2,66,9.2,110,102,475,35
1998-01-01 17:00:00,4.2,77,9.1,100,0,0,0
1998-01-01 18:00:00,4.3,82,7.4,100,0,0,0
1998-01-01 19:00:00,5.3,83,8.3,80,0,0,0
1998-01-01 20:00:00,5.3,83,7.5,70,0,0,0
1998-01-01 21:00:00,3.4,89,6.6,60,0,0,0
1998-01-01 22:00:00,2.4,89,6.0,50,0,0,0
1998-01-01 23:00:00,2.4,89,6.4,40,0,0,0
1998-01-02 00:00:00,2.2,89,6.3,30,0,0,0
1998-01-02 01:00:00,2.5,90,7.7,50,0,0,0
1998-01-02 02:00:00,1.5,90,6.6,50,0,0,0
1998-01-02 03:00:00,1.2,89,7.5,50,0,0,0
1998-01-02 04:00:00,1.5,90,8.0,20,0,0,0
1998-01-02 05:00:00,1.6,90,7.3,10,0,0,0
1998-01-02 06:00:00,1.6,91,6.2,340,0,0,0
1998-01-02 07:00:00,1.7,91,5.6,330,0,0,0
1998-01-02 08:00:00,1.7,91,5.0,300,0,15,0
1998-01-02 09:00:00,2.2,92,4.4,310,75,78,63
1998-01-02 10:00:00,3.0,91,5.8,280,70,0,70
1998-01-02 11:00:00,3.8,92,7.8,280,168,37,155
1998-01-02 12:00:00,6.8,86,8.2,270,154,6,151
1998-01-02 13:00:00,8.9,75,6.5,270,118,0,118
1998-01-02 14:00:00,7.9,87,5.9,240,164,41,149
1998-01-02 15:00:00,6.9,93,5.3,250,84,0,84
1998-01-02 16:00:00,7.0,93,5.7,220,81,164,58
1998-01-02 17:00:00,7.0,93,5.1,190,0,0,0
1998-01-02 18:00:00,6.5,94,5.4,220,0,0,0
1998-01-02 19:00:00,6.0,95,3.0,40,0,0,0
1998-01-02 20:00:00,5.5,95,2.7,40,0,0,0
1998-01-02 21:00:00,5.0,95,5.0,280,0,0,0
1998-01-02 22:00:00,4.5,89,5.7,280,0,0,0
1998-01-02 23:00:00,4.0,90,3.9,300,0,0,0
1998-01-03 00:00:00,2.5,90,4.6,270,0,0,0
1998-01-03 01:00:00,2.0,91,4.3,290,0,0,0
1998-01-03 02:00:00,1.5,99,5.5,300,0,0,0
1998-01-03 03:00:00,1.0,91,2.7,310,0,0,0
1998-01-03 04:00:00,-0.5,99,1.8,260,0,0,0
1998-01-03 05:00:00,-1.0,100,1.5,260,0,0,0
1998-01-03 06:00:00,-1.0,100,3.1,300,0,0,0
1998-01-03 07:00:00,-1.0,100,2.6,270,0,0,0
1998-01-03 08:00:00,0.0,92,3.1,270,0,0,0
1998-01-03 09:00:00,0.0,92,4.1,290,28,0,28
1998-01-03 10:00:00,0.0,100,4.1,280,56,0,56
1998-01-03 11:00:00,1.0,93,5.1,270,77,0,77
1998-01-03 12:00:00,1.0,100,4.6,280,86,0,86
1998-01-03 13:00:00,1.0,100,5.1,300,89,0,89
1998-01-03 14:00:00,1.0,100,5.7,280,74,0,74
1998-01-03 15:00:00,0.0,100,4.1,300,53,0,53
1998-01-03 16:00:00,0.0,100,3.1,300,39,0,39
1998-01-03 17:00:00,-1.0,100,2.6,300,0,0,0
1998-01-03 18:00:00,-1.0,100,3.6,320,0,0,0
1998-01-03 19:00:00,-2.0,100,3.1,330,0,0,0
1998-01-03 20:00:00,-2.0,100,4.1,330,0,0,0
1998-01-03 21:00:00,-2.0,100,3.1,340,0,0,0
1998-01-03 22:00:00,-3.0,100,3.1,330,0,0,0
1998-01-03 23:00:00,-4.0,100,3.6,350,0,0,0
1998-01-04 00:00:00,-4.0,100,3.6,340,0,0,0
1998-01-04 01:00:00,-4.0,100,4.1,340,0,0,0
1998-01-04 02:00:00,-4.0,100,5.1,360,0,0,0
1998-01-04 03:00:00,-4.0,100,3.6,20,0,0,0
1998-01-04 04:00:00,-4.0,100,4.6,30,0,0,0
1998-01-04 05:00:00,-4.0,100,3.6,10,0,0,0
1998-01-04 06:00:00,-3.0,92,3.6,30,0,0,0
1998-01-04 07:00:00,-3.0,92,2.6,20,0,0,0
1998-01-04 08:00:00,-3.0,92,4.6,360,0,0,0
1998-01-04 09:00:00,-3.0,92,3.6,10,19,0,19
1998-01-04 10:00:00,-2.2,94,4.3,350,56,0,56
1998-01-04 11:00:00,-1.5,88,5.6,340,52,0,52
1998-01-04 12:00:00,-0.7,83,3.3,320,117,0,117
1998-01-04 13:00:00,0.1,77,4.0,290,71,0,71
1998-01-04 14:00:00,0.8,80,3.7,250,164,35,151
1998-01-04 15:00:00,0.6,88,2.9,240,121,46,109
1998-01-04 16:00:00,1.4,90,2.2,220,56,32,52
1998-01-04 17:00:00,0.2,99,2.4,200,0,0,0
1998-01-04 18:00:00,0.9,94,3.7,180,0,0,0
1998-01-04 19:00:00,1.7,95,4.4,160,0,0,0
1998-01-04 20:00:00,2.5,96,2.7,140,0,0,0
1998-01-04 21:00:00,3.2,99,2.9,110,0,0,0
1998-01-04 22:00:00,4.0,100,1.5,90,0,0,0
1998-01-04 23:00:00,3.2,100,1.0,140,0,0,0
1998-01-05 00:00:00,3.3,100,0.0,0,0,0,0
1998-01-05 01:00:00,1.5,100,0.0,0,0,0,0
1998-01-05 02:00:00,0.6,100,0.0,0,0,0,0
1998-01-05 03:00:00,-0.2,100,0.0,0,0,0,0
1998-01-05 04:00:00,-0.1,100,0.0,0,0,0,0
1998-01-05 05:00:00,1.1,93,0.0,0,0,0,0
1998-01-05 06:00:00,1.2,93,0.0,0,0,0,0
1998-01-05 07:00:00,1.4,93,0.0,0,0,0,0
1998-01-05 08:00:00,1.5,93,0.0,0,0,32,0
1998-01-05 09:00:00,1.7,100,0.5,270,112,171,87
1998-01-05 10:00:00,2.8,93,0.6,290,127,51,113
1998-01-05 11:00:00,3.0,100,2.6,330,374,527,185
1998-01-05 12:00:00,2.3,100,2.4,300,246,157,182
1998-01-05 13:00:00,1.5,100,4.3,250,148,6,145
1998-01-05 14:00:00,1.8,93,4.0,220,108,0,108
1998-01-05 15:00:00,0.0,98,3.8,180,84,0,84
1998-01-05 16:00:00,0.3,95,4.6,160,113,299,68
1998-01-05 17:00:00,-0.5,92,3.9,150,1,0,1
1998-01-05 18:00:00,-1.3,90,3.7,100,0,0,0
1998-01-05 19:00:00,-2.0,87,3.5,70,0,0,0
1998-01-05 20:00:00,-3.8,92,3.8,50,0,0,0
1998-01-05 21:00:00,-4.5,82,3.0,30,0,0,0
1998-01-05 22:00:00,-5.3,80,3.3,20,0,0,0
