"month","day","hour","HLY.TEMP.NORMAL","zone"
1,1,0,16.1,1
1,1,1,16,1
1,1,2,15.7,1
1,1,3,15.5,1
1,1,4,15.2,1
1,1,5,15.1,1
1,1,6,14.8,1
1,1,7,14.6,1
1,1,8,14.5,1
1,1,9,15.2,1
1,1,10,16.8,1
1,1,11,18.3,1
1,1,12,19.6,1
1,1,13,20.5,1
1,1,14,21.1,1
1,1,15,21.3,1
1,1,16,20.6,1
1,1,17,18.9,1
1,1,18,18.4,1
1,1,19,17.6,1
1,1,20,17.2,1
1,1,21,16.7,1
1,1,22,16.5,1
1,1,23,16,1
1,2,0,15.8,1
1,2,1,15.6,1
1,2,2,15.4,1
1,2,3,15.2,1
1,2,4,14.8,1
1,2,5,14.7,1
1,2,6,14.4,1
1,2,7,14.2,1
1,2,8,14.1,1
1,2,9,14.9,1
1,2,10,16.5,1
1,2,11,18,1
1,2,12,19.3,1
1,2,13,20.3,1
1,2,14,20.9,1
1,2,15,21.1,1
1,2,16,20.4,1
1,2,17,18.7,1
1,2,18,18.2,1
1,2,19,17.3,1
1,2,20,16.9,1
1,2,21,16.4,1
1,2,22,16.2,1
1,2,23,15.6,1
1,3,0,15.4,1
1,3,1,15.2,1
1,3,2,14.9,1
1,3,3,14.6,1
1,3,4,14.3,1
1,3,5,14.2,1
1,3,6,14,1
1,3,7,13.8,1
1,3,8,13.7,1
1,3,9,14.6,1
1,3,10,16.3,1
1,3,11,17.9,1
1,3,12,19.3,1
1,3,13,20.3,1
1,3,14,20.9,1
1,3,15,21.1,1
1,3,16,20.3,1
1,3,17,18.6,1
1,3,18,18.1,1
1,3,19,17.3,1
1,3,20,16.8,1
1,3,21,16.3,1
1,3,22,16.1,1
1,3,23,15.5,1
1,4,0,15.2,1
1,4,1,15.1,1
1,4,2,14.8,1
1,4,3,14.5,1
1,4,4,14.2,1
1,4,5,14.1,1
1,4,6,13.9,1
1,4,7,13.7,1
1,4,8,13.6,1
1,4,9,14.6,1
1,4,10,16.2,1
1,4,11,17.8,1
1,4,12,19.2,1
1,4,13,20.2,1
1,4,14,20.9,1
1,4,15,21,1
1,4,16,20.3,1
1,4,17,18.6,1
1,4,18,18.1,1
1,4,19,17.2,1
1,4,20,16.8,1
1,4,21,16.3,1
1,4,22,16,1
1,4,23,15.4,1
1,5,0,15.2,1
1,5,1,15,1
1,5,2,14.6,1
1,5,3,14.3,1
1,5,4,14,1
1,5,5,13.9,1
1,5,6,13.7,1
1,5,7,13.5,1
1,5,8,13.5,1
1,5,9,14.4,1
1,5,10,16.1,1
1,5,11,17.6,1
1,5,12,19.1,1
1,5,13,20.1,1
1,5,14,20.7,1
1,5,15,20.9,1
1,5,16,20.2,1
1,5,17,18.4,1
1,5,18,17.9,1
1,5,19,17.1,1
1,5,20,16.5,1
1,5,21,16,1
1,5,22,15.8,1
1,5,23,15.2,1
