"County","Outdoor.Design.Temp","county_fips"
"Adams",-20,55001
"Ashland",-25,55003
"Barron",-25,55005
"Bayfield",-25,55007
"Brown",-15,55009
"Buffalo",-20,55011
"Burnett",-25,55013
"Calumet",-15,55015
"Chippewa",-25,55017
"Clark",-20,55019
"Columbia",-15,55021
"Crawford",-15,55023
"Dane",-15,55025
"Dodge",-15,55027
"Door",-15,55029
"Douglas",-25,55031
"Dunn",-25,55033
"Eau Claire",-20,55035
"Florence",-25,55037
"Fond du Lac",-15,55039
"Forest",-25,55041
"Grant",-15,55043
"Green",-15,55045
"Green Lake",-15,55047
"Iowa",-15,55049
"Iron",-25,55051
"Jackson",-20,55053
"Jefferson",-10,55055
"Juneau",-20,55057
"Kenosha",-10,55059
"Kewaunee",-15,55061
"La Crosse",-20,55063
"Lafayette",-15,55065
"Langlade",-20,55067
"Lincoln",-25,55069
"Manitowoc",-15,55071
"Marathon",-20,55073
"Marinette",-20,55075
"Marquette",-15,55077
"Menominee",-20,55078
"Milwaukee",-10,55079
"Monroe",-20,55081
"Oconto",-20,55083
"Oneida",-25,55085
"Outagamie",-15,55087
"Ozaukee",-10,55089
"Pepin",-20,55091
"Pierce",-25,55093
"Polk",-25,55095
"Portage",-20,55097
"Price",-25,55099
"Racine",-10,55101
"Richland",-15,55103
"Rock",-10,55105
"Rusk",-25,55107
"St. Croix",-25,55109
"Sauk",-15,55111
"Sawyer",-25,55113
"Shawano",-20,55115
"Sheboygan",-15,55117
"Taylor",-25,55119
"Trempealeau",-20,55121
"Vernon",-20,55123
"Vilas",-25,55125
"Walworth",-10,55127
"Washburn",-25,55129
"Washington",-10,55131
"Waukesha",-10,55133
"Waupaca",-20,55135
"Waushara",-15,55137
"Winnebago",-15,55139
"Wood",-20,55141
