"FIPS","Qualifying Name","File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/ Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Statistical Area- Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Area","New England City and Town Combined Statistical Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area – 5% File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Total","Total: Utility Gas","Total: Bottled Tank or Lp Gas","Total: Electricity","Total: Fuel Oil Kerosene Etc.","Total: Coal or Coke","Total: Wood","Total: Solar Energy","Total: Other Fuel","Total: No Fuel Used","Std. Error: Total","Std. Error: Total: Utility Gas","Std. Error: Total: Bottled Tank or Lp Gas","Std. Error: Total: Electricity","Std. Error: Total: Fuel Oil Kerosene Etc.","Std. Error: Total: Coal or Coke","Std. Error: Total: Wood","Std. Error: Total: Solar Energy","Std. Error: Total: Other Fuel","Std. Error: Total: No Fuel Used"
Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,ACS20_5yr_B25040001,ACS20_5yr_B25040002,ACS20_5yr_B25040003,ACS20_5yr_B25040004,ACS20_5yr_B25040005,ACS20_5yr_B25040006,ACS20_5yr_B25040007,ACS20_5yr_B25040008,ACS20_5yr_B25040009,ACS20_5yr_B25040010,ACS20_5yr_B25040001s,ACS20_5yr_B25040002s,ACS20_5yr_B25040003s,ACS20_5yr_B25040004s,ACS20_5yr_B25040005s,ACS20_5yr_B25040006s,ACS20_5yr_B25040007s,ACS20_5yr_B25040008s,ACS20_5yr_B25040009s,ACS20_5yr_B25040010s
"55001","Adams County, Wisconsin","ACSSF","wi","050","00","0000013",,,,,"55","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US55001","Adams County",,,,9111,2273,4845,815,102,0,920,11,115,30,160,97.57576,127.8788,76.36364,22.42424,10.30303,66.66666,6.060606,19.39394,13.93939
"55003","Ashland County, Wisconsin","ACSSF","wi","050","00","0000014",,,,,"55","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US55003","Ashland County",,,,6483,3280,1471,723,96,0,739,3,52,119,126.6667,109.0909,95.15151,75.15151,23.0303,9.090909,56.9697,3.030303,11.51515,38.78788
"55005","Barron County, Wisconsin","ACSSF","wi","050","00","0000015",,,,,"55","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US55005","Barron County",,,,19059,7660,6029,2922,440,8,1638,4,220,138,192.1212,247.8788,187.2727,218.1818,39.39394,6.666667,89.09091,2.424242,53.33333,38.18182
"55007","Bayfield County, Wisconsin","ACSSF","wi","050","00","0000016",,,,,"55","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US55007","Bayfield County",,,,7110,1642,3377,716,197,3,1074,8,74,19,144.2424,84.24242,84.24242,67.27273,24.84848,2.424242,60,3.636364,24.24242,7.272727
"55009","Brown County, Wisconsin","ACSSF","wi","050","00","0000017",,,,,"55","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US55009","Brown County",,,,106031,79771,3534,19232,817,5,956,29,838,849,406.6667,717.5757,209.697,592.7273,98.78788,4.848485,107.2727,16.36364,100,118.1818
"55011","Buffalo County, Wisconsin","ACSSF","wi","050","00","0000018",,,,,"55","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US55011","Buffalo County",,,,5751,1124,2700,701,442,0,665,6,104,9,58.78788,64.84849,72.12122,63.63636,35.15152,9.090909,43.63636,3.030303,29.69697,5.454545
"55013","Burnett County, Wisconsin","ACSSF","wi","050","00","0000019",,,,,"55","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US55013","Burnett County",,,,7242,1533,3582,816,106,0,1104,1,61,39,147.2727,72.72727,111.5152,63.0303,27.87879,9.090909,62.42424,1.818182,13.33333,15.15152
"55015","Calumet County, Wisconsin","ACSSF","wi","050","00","0000020",,,,,"55","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US55015","Calumet County",,,,19951,14287,1887,2438,533,0,542,0,171,93,143.6364,257.5757,137.5758,176.3636,65.45454,13.33333,62.42424,13.33333,40,39.39394
"55017","Chippewa County, Wisconsin","ACSSF","wi","050","00","0000021",,,,,"55","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US55017","Chippewa County",,,,26044,11708,6709,4500,1185,12,1593,6,231,100,178.7879,305.4546,242.4242,286.6667,111.5152,10.30303,107.2727,4.848485,40.60606,35.75758
