"","OBJECTID","FIPS","COUNTY","STATE","POP2020","SQMI","Shape__Area","Shape__Length","county_fips","zip","zip_54301","zip_54601","zip_54901"
"1",83844,55141011700,"Wood County","WI",4740,10.03,50755714.07,40683.07303,55141,54410,FALSE,TRUE,FALSE
"2",83843,55141011600,"Wood County","WI",5213,51.3,259397768.4,73824.75321,55141,54410,FALSE,TRUE,FALSE
"3",83842,55141011500,"Wood County","WI",6052,13.14,66595837.85,39704.53937,55141,54410,FALSE,TRUE,FALSE
"4",83841,55141011400,"Wood County","WI",5380,4.7,23809004.41,31761.31131,55141,54410,FALSE,TRUE,FALSE
"5",83840,55141011300,"Wood County","WI",4537,5.16,26172314.99,22914.49662,55141,54410,FALSE,TRUE,FALSE
"6",83839,55141011200,"Wood County","WI",3989,10.14,51424647.02,32875.29732,55141,54410,FALSE,TRUE,FALSE
"7",83838,55141011100,"Wood County","WI",3479,45.67,232211942.7,76929.2603,55141,54410,FALSE,TRUE,FALSE
"8",83837,55141011000,"Wood County","WI",5561,13.26,67305508.81,37511.87992,55141,54410,FALSE,TRUE,FALSE
"9",83836,55141010900,"Wood County","WI",3971,164.02,831912649.2,177966.8653,55141,54410,FALSE,TRUE,FALSE
"10",83835,55141010800,"Wood County","WI",2738,215.47,1092773282,152221.812,55141,54410,FALSE,TRUE,FALSE
"11",83834,55141010700,"Wood County","WI",5369,107.39,548456703.1,113169.4613,55141,54410,FALSE,TRUE,FALSE
"12",83833,55141010600,"Wood County","WI",4617,2,10233843.8,16295.90194,55141,54410,FALSE,TRUE,FALSE
"13",83832,55141010500,"Wood County","WI",3403,2.43,12450278.88,18216.50563,55141,54410,FALSE,TRUE,FALSE
"14",83831,55141010400,"Wood County","WI",3363,4.48,22927328.75,20293.43871,55141,54410,FALSE,TRUE,FALSE
"15",83830,55141010300,"Wood County","WI",2863,0.86,4408621.398,11042.93931,55141,54410,FALSE,TRUE,FALSE
"16",83829,55141010200,"Wood County","WI",5039,19.8,101332298.3,46406.33995,55141,54410,FALSE,TRUE,FALSE
"17",83828,55141010100,"Wood County","WI",4662,139.4,712143396.3,113697.0033,55141,54410,FALSE,TRUE,FALSE
"18",83964,55139003704,"Winnebago County","WI",NA,15.64,78631639.58,41204.66926,55139,54901,FALSE,TRUE,FALSE
"19",83963,55139003703,"Winnebago County","WI",NA,8.72,43904000.48,36777.96362,55139,54901,FALSE,TRUE,FALSE
"20",83962,55139002402,"Winnebago County","WI",NA,5.2,26216718.5,24241.98595,55139,54901,FALSE,TRUE,FALSE
"21",83961,55139002401,"Winnebago County","WI",NA,4.07,20544299.9,35677.69901,55139,54901,FALSE,TRUE,FALSE
"22",83960,55139002002,"Winnebago County","WI",NA,57.79,288989397.4,76982.95013,55139,54901,FALSE,TRUE,FALSE
"23",83959,55139002001,"Winnebago County","WI",NA,16.03,80405561.95,43704.52236,55139,54901,FALSE,TRUE,FALSE
"24",83958,55139000502,"Winnebago County","WI",NA,0.45,2248105.141,6871.586584,55139,54901,FALSE,TRUE,FALSE
"25",83957,55139000501,"Winnebago County","WI",NA,0.5,2487206.242,9187.003108,55139,54901,FALSE,TRUE,FALSE
"26",83827,55139003701,"Winnebago County","WI",4057,0.8,4048336.508,9830.281056,55139,54901,FALSE,TRUE,FALSE
"27",83826,55139003600,"Winnebago County","WI",4154,2.88,14499553.04,19396.39035,55139,54901,FALSE,TRUE,FALSE
"28",83825,55139003500,"Winnebago County","WI",3188,1.04,5229454.695,9363.088076,55139,54901,FALSE,TRUE,FALSE
"29",83824,55139003400,"Winnebago County","WI",4080,1.55,7800787.816,12449.98972,55139,54901,FALSE,TRUE,FALSE
"30",83823,55139003300,"Winnebago County","WI",2740,0.79,3969707.438,9644.329653,55139,54901,FALSE,TRUE,FALSE
"31",83822,55139003200,"Winnebago County","WI",2361,3.11,15642254.61,18729.05007,55139,54901,FALSE,TRUE,FALSE
"32",83821,55139003100,"Winnebago County","WI",2165,1.58,7945370.141,18068.14424,55139,54901,FALSE,TRUE,FALSE
"33",83820,55139003000,"Winnebago County","WI",1629,1.84,9262602.547,20175.91634,55139,54901,FALSE,TRUE,FALSE
