zip,state_id,county_fips,county_name
53001,WI,55117,Sheboygan
53002,WI,55131,Washington
53003,WI,55027,Dodge
53004,WI,55089,Ozaukee
53005,WI,55133,Waukesha
53006,WI,55027,Dodge
53007,WI,55133,Waukesha
53010,WI,55039,Fond du Lac
53011,WI,55117,Sheboygan
53012,WI,55089,Ozaukee
53013,WI,55117,Sheboygan
53014,WI,55015,Calumet
53015,WI,55071,Manitowoc
53016,WI,55027,Dodge
53017,WI,55131,Washington
53018,WI,55133,Waukesha
53019,WI,55039,Fond du Lac
53020,WI,55117,Sheboygan
53021,WI,55089,Ozaukee
53022,WI,55131,Washington
53023,WI,55117,Sheboygan
53024,WI,55089,Ozaukee
53027,WI,55131,Washington
53029,WI,55133,Waukesha
53031,WI,55117,Sheboygan
53032,WI,55027,Dodge
53033,WI,55131,Washington
53034,WI,55027,Dodge
53035,WI,55027,Dodge
53036,WI,55055,Jefferson
53037,WI,55131,Washington
53038,WI,55055,Jefferson
53039,WI,55027,Dodge
53040,WI,55131,Washington
53042,WI,55071,Manitowoc
53044,WI,55117,Sheboygan
53045,WI,55133,Waukesha
53046,WI,55133,Waukesha
53047,WI,55027,Dodge
53048,WI,55027,Dodge
53049,WI,55039,Fond du Lac
53050,WI,55027,Dodge
53051,WI,55133,Waukesha
53057,WI,55039,Fond du Lac
53058,WI,55133,Waukesha
53059,WI,55027,Dodge
53061,WI,55015,Calumet
53063,WI,55071,Manitowoc
53065,WI,55039,Fond du Lac
53066,WI,55133,Waukesha
53069,WI,55133,Waukesha
53070,WI,55117,Sheboygan
53072,WI,55133,Waukesha
53073,WI,55117,Sheboygan
53074,WI,55089,Ozaukee
53075,WI,55117,Sheboygan
53076,WI,55131,Washington
53078,WI,55027,Dodge
53079,WI,55039,Fond du Lac
53080,WI,55089,Ozaukee
53081,WI,55117,Sheboygan
53083,WI,55117,Sheboygan
53085,WI,55117,Sheboygan
53086,WI,55131,Washington
53088,WI,55015,Calumet
53089,WI,55133,Waukesha
53090,WI,55131,Washington
53091,WI,55027,Dodge
53092,WI,55089,Ozaukee
53093,WI,55117,Sheboygan
53094,WI,55055,Jefferson
53095,WI,55131,Washington
53097,WI,55089,Ozaukee
53098,WI,55027,Dodge
53103,WI,55133,Waukesha
53104,WI,55059,Kenosha
53105,WI,55101,Racine
53108,WI,55101,Racine
53110,WI,55079,Milwaukee
53114,WI,55127,Walworth
53115,WI,55127,Walworth
53118,WI,55133,Waukesha
53119,WI,55133,Waukesha
53120,WI,55127,Walworth
53121,WI,55127,Walworth
53122,WI,55133,Waukesha
53125,WI,55127,Walworth
53126,WI,55101,Racine
53128,WI,55127,Walworth
53129,WI,55079,Milwaukee
53130,WI,55079,Milwaukee
53132,WI,55079,Milwaukee
53137,WI,55055,Jefferson
53139,WI,55101,Racine
53140,WI,55059,Kenosha
53142,WI,55059,Kenosha
53143,WI,55059,Kenosha
53144,WI,55059,Kenosha
53146,WI,55133,Waukesha
53147,WI,55127,Walworth
53149,WI,55133,Waukesha
53150,WI,55133,Waukesha
53151,WI,55133,Waukesha
53153,WI,55133,Waukesha
53154,WI,55079,Milwaukee
53156,WI,55055,Jefferson
53158,WI,55059,Kenosha
53167,WI,55101,Racine
53168,WI,55059,Kenosha
53170,WI,55059,Kenosha
53172,WI,55079,Milwaukee
53177,WI,55101,Racine
53178,WI,55055,Jefferson
53179,WI,55059,Kenosha
53181,WI,55059,Kenosha
53182,WI,55101,Racine
53183,WI,55133,Waukesha
53184,WI,55127,Walworth
53185,WI,55101,Racine
53186,WI,55133,Waukesha
53188,WI,55133,Waukesha
53189,WI,55133,Waukesha
53190,WI,55127,Walworth
53191,WI,55127,Walworth
53192,WI,55059,Kenosha
53195,WI,55127,Walworth
53202,WI,55079,Milwaukee
53203,WI,55079,Milwaukee
53204,WI,55079,Milwaukee
53205,WI,55079,Milwaukee
53206,WI,55079,Milwaukee
53207,WI,55079,Milwaukee
53208,WI,55079,Milwaukee
53209,WI,55079,Milwaukee
53210,WI,55079,Milwaukee
53211,WI,55079,Milwaukee
53212,WI,55079,Milwaukee
53213,WI,55079,Milwaukee
53214,WI,55079,Milwaukee
53215,WI,55079,Milwaukee
53216,WI,55079,Milwaukee
53217,WI,55079,Milwaukee
53218,WI,55079,Milwaukee
53219,WI,55079,Milwaukee
53220,WI,55079,Milwaukee
53221,WI,55079,Milwaukee
53222,WI,55079,Milwaukee
53223,WI,55079,Milwaukee
53224,WI,55079,Milwaukee
53225,WI,55079,Milwaukee
53226,WI,55079,Milwaukee
53227,WI,55079,Milwaukee
53228,WI,55079,Milwaukee
53233,WI,55079,Milwaukee
53235,WI,55079,Milwaukee
53295,WI,55079,Milwaukee
53402,WI,55101,Racine
53403,WI,55101,Racine
53404,WI,55101,Racine
53405,WI,55101,Racine
53406,WI,55101,Racine
53501,WI,55105,Rock
53502,WI,55045,Green
53503,WI,55049,Iowa
53504,WI,55065,Lafayette
53505,WI,55105,Rock
53506,WI,55049,Iowa
53507,WI,55049,Iowa
53508,WI,55025,Dane
53510,WI,55065,Lafayette
53511,WI,55105,Rock
53515,WI,55025,Dane
53516,WI,55065,Lafayette
53517,WI,55025,Dane
53518,WI,55103,Richland
53520,WI,55045,Green
53521,WI,55025,Dane
53522,WI,55045,Green
53523,WI,55025,Dane
53525,WI,55105,Rock
53526,WI,55049,Iowa
53527,WI,55025,Dane
53528,WI,55025,Dane
53529,WI,55025,Dane
53530,WI,55065,Lafayette
53531,WI,55025,Dane
53532,WI,55025,Dane
53533,WI,55049,Iowa
53534,WI,55105,Rock
53536,WI,55105,Rock
53537,WI,55105,Rock
53538,WI,55055,Jefferson
53540,WI,55103,Richland
53541,WI,55065,Lafayette
53543,WI,55049,Iowa
53544,WI,55049,Iowa
53545,WI,55105,Rock
53546,WI,55105,Rock
53548,WI,55105,Rock
53549,WI,55055,Jefferson
53550,WI,55045,Green
53551,WI,55055,Jefferson
53553,WI,55049,Iowa
53554,WI,55043,Grant
53555,WI,55021,Columbia
53556,WI,55103,Richland
53557,WI,55027,Dodge
53558,WI,55025,Dane
53559,WI,55025,Dane
53560,WI,55025,Dane
53561,WI,55111,Sauk
53562,WI,55025,Dane
53563,WI,55105,Rock
53565,WI,55049,Iowa
53566,WI,55045,Green
53569,WI,55043,Grant
53570,WI,55045,Green
53571,WI,55025,Dane
53572,WI,55025,Dane
53573,WI,55043,Grant
53574,WI,55045,Green
53575,WI,55025,Dane
53576,WI,55105,Rock
53577,WI,55111,Sauk
53578,WI,55111,Sauk
53579,WI,55027,Dodge
53580,WI,55049,Iowa
53581,WI,55103,Richland
53582,WI,55049,Iowa
53583,WI,55111,Sauk
53585,WI,55127,Walworth
53586,WI,55065,Lafayette
53587,WI,55065,Lafayette
53588,WI,55111,Sauk
53589,WI,55025,Dane
53590,WI,55025,Dane
53593,WI,55025,Dane
53594,WI,55055,Jefferson
53597,WI,55025,Dane
53598,WI,55025,Dane
53599,WI,55065,Lafayette
53702,WI,55133,Waukesha
53703,WI,55025,Dane
53704,WI,55025,Dane
53705,WI,55025,Dane
53706,WI,55025,Dane
53711,WI,55025,Dane
53713,WI,55025,Dane
53714,WI,55025,Dane
53715,WI,55025,Dane
53716,WI,55025,Dane
53717,WI,55025,Dane
53718,WI,55025,Dane
53719,WI,55025,Dane
53726,WI,55025,Dane
53792,WI,55025,Dane
53801,WI,55043,Grant
53802,WI,55043,Grant
53803,WI,55065,Lafayette
53804,WI,55043,Grant
