"Utility.ID","Utility.Name","Month","Rate"
50,"Algoma Utility Commission",3,0.1131
50,"Algoma Utility Commission",4,0.1131
50,"Algoma Utility Commission",5,0.1131
50,"Algoma Utility Commission",6,0.1131
50,"Algoma Utility Commission",7,0.1131
50,"Algoma Utility Commission",8,0.1131
50,"Algoma Utility Commission",9,0.1131
50,"Algoma Utility Commission",10,0.1131
50,"Algoma Utility Commission",11,0.1131
50,"Algoma Utility Commission",12,0.1131
50,"Algoma Utility Commission",1,0.1131
50,"Algoma Utility Commission",2,0.1131
210,"Arcadia Electric and Water Utility",4,0.099
210,"Arcadia Electric and Water Utility",5,0.099
210,"Arcadia Electric and Water Utility",6,0.099
210,"Arcadia Electric and Water Utility",7,0.099
210,"Arcadia Electric and Water Utility",8,0.099
210,"Arcadia Electric and Water Utility",9,0.099
210,"Arcadia Electric and Water Utility",10,0.099
210,"Arcadia Electric and Water Utility",11,0.099
210,"Arcadia Electric and Water Utility",12,0.099
210,"Arcadia Electric and Water Utility",1,0.099
210,"Arcadia Electric and Water Utility",2,0.099
210,"Arcadia Electric and Water Utility",3,0.099
230,"Argyle Municipal Electric and Water Utility",3,0.0934
230,"Argyle Municipal Electric and Water Utility",4,0.0934
230,"Argyle Municipal Electric and Water Utility",5,0.0934
230,"Argyle Municipal Electric and Water Utility",6,0.0934
230,"Argyle Municipal Electric and Water Utility",7,0.0934
230,"Argyle Municipal Electric and Water Utility",8,0.0934
230,"Argyle Municipal Electric and Water Utility",9,0.0934
230,"Argyle Municipal Electric and Water Utility",10,0.0934
230,"Argyle Municipal Electric and Water Utility",11,0.0934
230,"Argyle Municipal Electric and Water Utility",12,0.0934
230,"Argyle Municipal Electric and Water Utility",1,0.0934
230,"Argyle Municipal Electric and Water Utility",2,0.0934
350,"Bangor Municipal Utility",3,0.1047
350,"Bangor Municipal Utility",4,0.1047
350,"Bangor Municipal Utility",5,0.1047
350,"Bangor Municipal Utility",6,0.1225
350,"Bangor Municipal Utility",7,0.1225
350,"Bangor Municipal Utility",8,0.1225
350,"Bangor Municipal Utility",9,0.1225
350,"Bangor Municipal Utility",10,0.1225
350,"Bangor Municipal Utility",11,0.1225
350,"Bangor Municipal Utility",12,0.1225
350,"Bangor Municipal Utility",1,0.1225
350,"Bangor Municipal Utility",2,0.1225
380,"Barron Light And Water Utility",4,0.086
380,"Barron Light And Water Utility",5,0.086
380,"Barron Light And Water Utility",6,0.086
380,"Barron Light And Water Utility",7,0.086
380,"Barron Light And Water Utility",8,0.086
380,"Barron Light And Water Utility",9,0.086
380,"Barron Light And Water Utility",10,0.086
380,"Barron Light And Water Utility",11,0.086
380,"Barron Light And Water Utility",12,0.086
380,"Barron Light And Water Utility",1,0.086
380,"Barron Light And Water Utility",2,0.086
380,"Barron Light And Water Utility",3,0.086
440,"Belmont Municipal Water And Electric Utility",3,0.0883
440,"Belmont Municipal Water And Electric Utility",4,0.0883
440,"Belmont Municipal Water And Electric Utility",5,0.0883
440,"Belmont Municipal Water And Electric Utility",6,0.0883
440,"Belmont Municipal Water And Electric Utility",7,0.0883
440,"Belmont Municipal Water And Electric Utility",8,0.0883
440,"Belmont Municipal Water And Electric Utility",9,0.0883
440,"Belmont Municipal Water And Electric Utility",10,0.0883
