"OBJECTID","FID_J5ADCCAE55F1F458CB72D43BBA0","FID_JCEC669FB3C1942769A246F54CA","FID_JD5A3B0BAC9964E2A82FC17D52C","FID_JCFB10F4860614B8C9C6755F87E","NAME","STATE_NAME","STATE_FIPS","CNTY_FIPS","FIPS","POPULATION","POP_SQMI","POP2010","POP10_SQMI","WHITE","BLACK","AMERI_ES","ASIAN","HAWN_PI","HISPANIC","OTHER","MULT_RACE","MALES","FEMALES","AGE_UNDER5","AGE_5_9","AGE_10_14","AGE_15_19","AGE_20_24","AGE_25_34","AGE_35_44","AGE_45_54","AGE_55_64","AGE_65_74","AGE_75_84","AGE_85_UP","MED_AGE","MED_AGE_M","MED_AGE_F","HOUSEHOLDS","AVE_HH_SZ","HSEHLD_1_M","HSEHLD_1_F","MARHH_CHD","MARHH_NO_C","MHH_CHILD","FHH_CHILD","FAMILIES","AVE_FAM_SZ","HSE_UNITS","VACANT","OWNER_OCC","RENTER_OCC","NO_FARMS12","AVE_SIZE12","CROP_ACR12","AVE_SALE12","SQMI","NO_FARMS17","AVE_SIZE17","CROP_ACR17","AVE_SALE17","Shape_Leng","County","Zone","FID_JC691A5DE512F41389BD7E7BF18","price.region","Count_","Area.in.Square.Miles","FID_WI_MUNI_UTILITY_BOUNDARIES_","CODE","COLOR","UTIL_LAB","Util_Type","PSC_ID","AREA","PERIMETER","ADDRESS_1","ADDRESS_2","CITY","STATE","ZIP","PHONE","WEB","DATA_DATE","GIS_DATA","Shape_Leng.1","LABEL","FID_COOP_UTILITY_BOUNDARIES_COO","CODE.1","COLOR.1","UTIL_LAB.1","Util_Type.1","PSC_ID.1","AREA.1","PERIMETER.1","ADDRESS_1.1","ADDRESS_2.1","CITY.1","STATE.1","ZIP.1","PHONE.1","WEB.1","DATA_DATE.1","GIS_DATA.1","Shape_Leng.2","LABEL.1","FID_WI_IOU_UTILITY_BOUNDARIES_W","CITY.2","CODE.2","UTIL_LAB.2","PSC_ID.2","AREA.2","PERIMETER.2","DATA_DATE.2","GIS_DATA.2","ADDRESS_1.2","ADDRESS_2.2","STATE.2","ZIP.2","PHONE.2","WEB.2","Shape_Leng.3","UTIL_TYPE","LABEL.2","elec_utility","heating_load","cooling_load","NG_cool_NB","NG_cool_NB_capital","NG_cool_NB_MO","NG_cool_NB_emissions","NG_cool_private","NG_cool_CO2e","NG_nocool_NB","NG_nocool_NB_capital","NG_nocool_NB_MO","NG_nocool_NB_emissions","NG_nocool_private","NG_nocool_CO2e","HO_cool_NB","HO_cool_NB_capital","HO_cool_NB_MO","HO_cool_NB_emissions","HO_cool_private","HO_cool_CO2e","HO_nocool_NB","HO_nocool_NB_capital","HO_nocool_NB_MO","HO_nocool_NB_emissions","HO_nocool_private","HO_nocool_CO2e","P_cool_NB","P_cool_NB_capital","P_cool_NB_MO","P_cool_NB_emissions","P_cool_private","P_cool_CO2e","P_nocool_NB","P_nocool_NB_capital","P_nocool_NB_MO","P_nocool_NB_emissions","P_nocool_private","P_nocool_CO2e","ElecRes_cool_NB","ElecRes_cool_NB_capital","ElecRes_cool_NB_MO","ElecRes_cool_NB_emissions","ElecRes_cool_private","ElecRes_cool_CO2e","ElecRes_nocool_NB","ElecRes_nocool_NB_capital","ElecRes_nocool_NB_MO","ElecRes_nocool_NB_emissions","ElecRes_nocool_private","ElecRes_nocool_CO2e","wood_cool_NB","wood_cool_NB_capital","wood_cool_NB_MO","wood_cool_NB_emissions","wood_cool_private","wood_cool_CO2e","wood_nocool_NB","wood_nocool_NB_capital","wood_nocool_NB_MO","wood_nocool_NB_emissions","wood_nocool_private","wood_nocool_CO2e","perc_positive_NB_NG_cool","perc_positive_private_NG_cool","perc_positive_NB_NG_nocool","perc_positive_private_NG_nocool","perc_positive_NB_P_cool","perc_positive_private_P_cool","perc_positive_NB_P_nocool","perc_positive_private_P_nocool","perc_positive_NB_HO_cool","perc_positive_private_HO_cool","perc_positive_NB_HO_nocool","perc_positive_private_HO_nocool","perc_positive_NB_ElecRes_cool","perc_positive_private_ElecRes_cool","perc_positive_NB_ElecRes_nocool","perc_positive_private_ElecRes_nocool","perc_positive_NB_wood_cool","perc_positive_private_wood_cool","perc_positive_NB_wood_nocool","perc_positive_private_wood_nocool"
2,355,55,55,32,"La Crosse County","Wisconsin",55,63,55063,120515,251,114638,238.9,105540,1610,493,4742,28,1741,371,1854,55961,58677,6748,6562,6816,9547,12626,14774,13039,15821,13504,7490,5176,2535,35.2,34.2,36.3,46137,2.37,6067,7585,8902,12610,1102,2773,27373,2.94,48402,2265,29562,16575,748,212,86855,115671,480.05,667,216,85863,111865,1.73449471,"La Crosse",7,4,3,160,57.05835157,-1,"",0,"","",0,0,"","","","","","","","","12/30/1899 12:00:00 AM","",0,"",13,"C-18",83,"RIVERLAND ENERGY COOPERATIVE","Cooperative",5938,1675.824886,293.5028983,"PO Box 277","N28988 STH 93","Arcadia","WI","54612-0277","608-323-3381","https://www.riverlandenergy.com","11/11/09 0:00","X",472348.0731,"Riverland Energy Cooperative",-1,"","","",0,0,NA,"12/30/1899 12:00:00 AM","","","","","","","",0,"","",5938,-93.9560622072213,-1510.9816117805,-456.893953609502,-624.399009667317,-32.9330382135195,200.43809427133,-657.332047880836,6122.98424795203,-7474.7893930818,-7384.14879184396,-32.9330382135195,-57.7075630243239,-7417.08183005748,-1727.37930859822,10865.6575987058,-624.399009667317,9203.44116212893,2286.61544624417,8579.04215246161,69472.4485129327,3847.76215923348,-7384.14879184396,9203.44116212893,2028.46978894852,1819.29237028496,61622.0849563825,14396.7493517544,-624.399009667317,13538.2261775502,1482.92218387151,12913.8271678829,45131.7853733966,7378.85391228206,-7384.14879184396,13538.2261775502,1224.77652657585,6154.07738570621,37281.4218168463,28590.4728433351,-624.399009667317,26212.7544899657,3002.11736303679,25588.3554802983,91326.7838462062,21572.5774038628,-7384.14879184396,26212.7544899657,2743.97170574114,18828.6056981217,83476.420289656,13942.9104369031,-624.399009667315,12184.7324727764,2382.57697379406,11560.3334631091,72535.3213935694,6925.01499743082,-7384.14879184396,12184.7324727764,2124.43131649841,4800.58368093242,64684.9578370191,0.063,0.004,0,0,1,1,0.884,0.883,0.998,0.931,0.866,0.669,1,1,1,1,0,1,0,1
4,378,78,78,47,"Pepin County","Wisconsin",55,91,55091,7499,30.2,7469,30,7337,21,19,13,1,72,35,43,3780,3689,468,438,481,488,317,746,893,1199,1102,673,457,207,44,43.2,44.8,3051,2.4,406,411,623,1137,77,149,2085,2.91,3579,528,2428,623,459,226,63018,156288,248.7,448,239,69294,161411,1.76877636,"Pepin",7,4,3,160,3.54867049,-1,"",0,"","",0,0,"","","","","","","","","12/30/1899 12:00:00 AM","",0,"",12,"C-09",83,"EAU CLAIRE ENERGY COOPERATIVE","Cooperative",1737,662.8634457,202.1058369,"PO Box 368","8214 USH 12","Fall Creek","WI","54742-0368","888-832-1604","https://www.ecec.com/content/home.php","7/20/09 0:00","X",325258.4664,"Eau Claire Energy Cooperative",-1,"","","",0,0,NA,"12/30/1899 12:00:00 AM","","","","","","","",0,"","",1737,-94.4864568470719,-1254.18170791384,-141.3628720784,-629.687489966918,53.7873067347937,434.53731115373,-575.900183232125,13646.0977272223,-7083.16286087378,-7362.4988489992,53.7873067347937,225.548681390634,-7308.71154226441,7129.56685206301,12362.7086646772,-629.687489966922,10677.1674548477,2315.22869979646,10047.4799648808,72177.4553853271,5420.90867588184,-7362.4988489992,10677.1674548477,2106.24007003337,3314.66860584847,65660.9245101679,15937.7394149996,-629.687489966918,15122.499986895,1444.92691807146,14492.8124969281,45077.3429470866,8995.93942620419,-7362.4988489992,15122.499986895,1235.93828830836,7760.00113789582,38560.8120719274,25535.8590032159,-629.68748996692,23251.3123411662,2914.23415201669,22621.6248511992,90920.709376603,18594.0590144206,-7362.4988489992,23251.3123411662,2705.24552225359,15888.813492167,84404.1785014438,15151.5444259862,-629.68748996692,13169.9381677454,2611.29374820769,12540.2506777785,81572.3591399709,8209.74443719078,-7362.4988489992,13169.9381677454,2402.3051184446,5807.43931874618,75055.8282648117,0.318,0.034,0,0,1,1,0.92,0.887,1,0.994,0.882,0.863,1,1,1,1,0,1,0,1
5,215,220,92,56,"St. Croix County","Wisconsin",55,109,55109,92386,125.7,84345,114.7,80914,552,313,900,23,1692,483,1160,42218,42127,6166,6705,6396,5361,3924,11542,12640,13616,9527,4672,2637,1159,36.7,36.1,37.2,31799,2.63,3215,3601,8884,10052,1025,1832,23014,3.07,33983,2184,24754,7045,1417,189,196082,151251,735.19,1444,193,216465,130944,2.05050503,"St. Croix",7,2,1,416,1.14821801,76,"M-51",67,"NEW RICHMOND MUNICIPAL ELECTRIC UTILITY","Municipal",4139,10.74810677,"28.65018795"," ","156 E 1st Street","New Richmond","WI","54017","715-246-4167","https://www.nrutilities.com/","2/5/19 0:00"," ",47694.09188,"New Richmond Municipal Electric Utility",-1,"",0,"","",0,0,NA,"","","","","","","","12/30/1899 12:00:00 AM","",0,"",-1,"","","",0,0,NA,"12/30/1899 12:00:00 AM","","","","","","","",0,"","",4139,-90.6090440789921,-1325.38901777609,-86.9261392911103,-631.00837970776,88.9732605260579,455.108979890595,-542.035119181703,14177.7384716666,-7061.09608665894,-7384.20107419578,88.9732605260579,234.131727010784,-7295.22781366972,7290.82279619572,12122.5051060298,-631.008379707762,10512.5908898027,2240.92259593495,9881.58251009489,69908.96255917,5148.33515866201,-7384.20107419578,10512.5908898027,2019.94534305514,3128.38981560687,63022.0468836991,15703.3939912694,-631.00837970776,14947.8192896684,1386.58308130874,14316.8109099607,43217.8994693105,8729.22404390157,-7384.20107419578,14947.8192896684,1165.60582842892,7563.61821547265,36330.9837938396,24264.7927620739,-631.008379707762,22098.4000478294,2797.40109395231,21467.3916681216,87191.6313671743,17290.6228147061,-7384.20107419578,22098.4000478294,2576.4238410725,14714.1989736336,80304.7156917034,14604.2838836384,-631.00837970776,12703.6673554616,2531.62490788463,12072.6589757538,78908.5197652907,7630.11393627061,-7384.20107419578,12703.6673554616,2310.64765500482,5319.46628126579,72021.6040898198,0.384,0.062,0,0,1,1,0.937,0.913,1,0.995,0.912,0.885,1,1,1,1,0,1,0,1
8,192,197,60,36,"Manitowoc County","Wisconsin",55,71,55071,80493,135.4,81442,136.7,76402,442,450,2050,10,2565,1069,1019,40489,40953,4550,4874,5254,5484,4033,8884,9963,13589,11097,6794,4687,2233,42.9,41.6,44.2,34013,2.36,4706,5198,6752,11491,889,1764,22367,2.91,37189,3176,25642,8371,1224,189,186852,280845,594.62,1171,198,187956,263971,2.57436757,"Manitowoc",6,2,1,416,6.11520887,21,"M-73",31,"TWO RIVERS WATER & LIGHT UTILITY","Municipal",5990,6.59169619,"31.44701249"," ","1415 Lake Street","Two Rivers","WI","54241","920-793-5550","https://trwaterandlight.com/","2/13/15 0:00"," ",50609.16209,"Two Rivers Water & Light Utility",-1,"",0,"","",0,0,NA,"","","","","","","","12/30/1899 12:00:00 AM","",0,"",-1,"","","",0,0,NA,"12/30/1899 12:00:00 AM","","","","","","","",0,"","",5990,-77.4696284884804,-782.618328178727,254.336936070551,-624.790300591183,268.670390122454,610.456846539278,-356.119910468729,18786.0328108267,-6636.99704961467,-7383.8274896063,268.670390122454,478.160049869175,-7115.15709948385,14719.1953665273,11248.946098417,-624.790300591183,9818.78139042831,2054.95500857985,9193.99108983713,63096.2827474725,4357.61211273176,-7383.8274896063,9818.78139042831,1922.65821190975,2434.95390082201,59029.445303173,14261.5440493347,-624.790300591183,13595.0976855572,1291.23666436862,12970.307384966,39685.7556247804,7370.21006364944,-7383.8274896063,13595.0976855572,1158.93986769851,6211.27019595092,35618.9181804809,20842.9002609593,-624.790300591185,18951.8245423425,2515.86601920798,18327.0342417514,77352.5670442932,13951.5662752741,-7383.8274896063,18951.8245423425,2383.56922253788,11567.9970527362,73285.7295999938,13582.2167490661,-624.790300591183,11743.3688322289,2463.63821742834,11118.5785316378,75762.2713315953,6690.88276338089,-7383.8274896063,11743.3688322289,2331.34142075824,4359.54134262265,71695.4338872959,0.682,0.144,0,0,1,1,0.921,0.886,1,1,0.882,0.849,1,1,1,1,0,1,0,1
9,401,89,89,54,"Rock County","Wisconsin",55,105,55105,163816,225.6,160331,220.8,140513,7978,516,1630,39,12124,5948,3707,78815,81516,10445,11116,11427,11581,9409,20159,21393,24117,18925,11466,7256,3037,37.9,36.8,39,62905,2.5,7277,9252,12896,18261,2287,5564,42416,3,68422,5517,44380,18525,1509,234,303657,181858,726.16,1587,223,302797,185539,1.87766631,"Rock",10,2,1,416,212.4681763,-1,"",0,"","",0,0,"","","","","","","","","12/30/1899 12:00:00 AM","",0,"",20,"C-19",83,"ROCK ENERGY COOPERATIVE","Cooperative",5125,385.0186036,353.3255764,"PO Box 1758","2815 Kennedy Road","Janesville","WI","53547-1758","608-752-4550","https://www.rock.coop","11/25/10 0:00","X",568623.5336,"Rock Energy Cooperative",-1,"","","",0,0,NA,"12/30/1899 12:00:00 AM","","","","","","","",0,"","",5125,-72.7532263949838,-752.964650245042,-568.805799671951,-619.25137101355,-24.9470436002593,75.3926149418567,-644.198414613809,2329.75555238662,-7407.55621052371,-7330.44841935861,-24.9470436002593,-52.1607475648393,-7355.39546295887,-1583.21686566038,8419.12174058334,-619.25137101355,7166.32616483019,1872.0469467667,6547.07479381664,57343.6763181116,1580.37132973158,-7330.44841935861,7166.32616483019,1744.49358426,-164.122254528426,53430.7039000646,11285.0655590627,-619.25137101355,10656.12029319,1248.19663688625,10036.8689221765,38287.5454609427,4446.31514821096,-7330.44841935861,10656.12029319,1120.64327437956,3325.6718738314,34374.5730428958,24619.0581896854,-619.251371013548,22837.9655527617,2400.34400793725,22218.7141817481,73644.7626714843,17780.3077788336,-7330.44841935861,22837.9655527617,2272.79064543055,15507.5171334031,69731.7902534373,11793.1725679898,-619.25137101355,10321.819321604,2090.60461739936,9702.56795059046,64171.4084978718,4954.42215713805,-7330.44841935861,10321.819321604,1963.05125489266,2991.3709022454,60258.4360798248,0.014,0.003,0,0,1,1,0.888,0.864,0.968,0.906,0.711,0.258,1,1,1,1,0,1,0,1
10,430,103,103,61,"Taylor County","Wisconsin",55,119,55119,20760,21.1,20689,21,20248,58,43,56,8,316,128,148,10559,10130,1359,1445,1367,1342,978,2213,2576,3510,2565,1657,1113,564,41.7,40.9,42.5,8388,2.44,1151,1101,1796,2897,274,364,5689,2.96,10582,2194,6693,1695,967,224,119997,141155,984.56,893,253,133702,126517,2.46447138,"Taylor",5,3,2,176,153.9474333,-1,"",0,"","",0,0,"","","","","","","","","12/30/1899 12:00:00 AM","",0,"",23,"C-11",83,"JUMP RIVER ELECTRIC COOPERATIVE","Cooperative",2777,1140.657743,424.4593765,"PO Box 99","1102 W 9th Street N","Ladysmith","WI","54848-0099","715-532-5524","https://www.jrec.net/","8/13/09 0:00"," ",683102.517,"Jump River Electric Cooperative",-1,"","","",0,0,NA,"12/30/1899 12:00:00 AM","","","","","","","",0,"","",2777,-66.0888400068113,-403.051228641849,-187.768190745704,-632.196945668024,94.2139902873951,350.214764634924,-537.982955380628,10765.2823626451,-7036.65954778401,-7413.15422724021,94.2139902873951,282.280689168807,-7318.94023695282,8670.60158789861,8653.17963519252,-632.196945668024,7679.69092475849,1605.68565610205,7047.49397909046,49464.3560139902,1804.28827815422,-7413.15422724021,7679.69092475849,1537.75158063594,266.536697518278,47369.6752392437,11163.6382106853,-632.196945668024,10799.7152869604,996.119869392934,10167.5183412924,30681.4095941088,4314.74685364702,-7413.15422724021,10799.7152869604,928.185793926817,3386.5610597202,28586.7288193623,17042.5967262562,-632.196945668024,15633.0088910256,2041.78478089858,15000.8119453576,62944.3163338132,10193.7053692179,-7413.15422724021,15633.0088910256,1973.85070543247,8219.85466378539,60849.6355590667,10245.473316751,-632.196945668024,9067.74090092808,1809.9293614909,8435.54395526006,55791.8300039422,3396.58195971266,-7413.15422724021,9067.74090092808,1741.99528602479,1654.58667368787,53697.1492291957,0.292,0.042,0,0,1,1,0.88,0.861,1,0.983,0.727,0.36,1,1,1,1,0,1,0,0.972
12,384,80,80,48,"Pierce County","Wisconsin",55,93,55093,43559,73.5,41019,69.3,39614,232,151,301,7,623,201,513,20420,20599,2414,2535,2556,3836,4659,4710,5053,6247,4726,2363,1315,605,34.5,34.8,34.3,15002,2.55,1710,1610,3532,4783,459,783,10188,2.97,16132,1130,11115,3887,1259,195,166276,141901,592.73,1229,190,166265,121535,1.85679885,"Pierce",7,4,3,160,100.4816372,-1,"",0,"","",0,0,"","","","","","","","","12/30/1899 12:00:00 AM","",0,"",9,"C-14",83,"PIERCE-PEPIN ELECTRIC COOPERATIVE SERVICES","Cooperative",4646,607.3642169,196.8380342,"PO Box 420","W7725 USH 10","Ellsworth","WI","54011-0420","715-273-4355","https://www.piercepepin.com","8/10/09 0:00","X",316780.743,"Pierce-Pepin Electric Cooperative Services",-1,"","","",0,0,NA,"12/30/1899 12:00:00 AM","","","","","","","",0,"","",4646,-79.6069416656524,-1128.61824680098,-538.137448672504,-604.259497847313,-22.7702743826685,88.8923235574748,-627.029772229982,2752.34087869777,-7486.2084447157,-7363.62688629266,-22.7702743826685,-99.8112840403733,-7386.39716067532,-3113.49708027931,8285.14389364949,-604.259497847313,7060.64373672533,1828.75965477148,6456.38423887801,56674.5574194533,1337.0728976063,-7363.62688629266,7060.64373672533,1640.05604717363,-302.98314956733,50808.7194604762,11356.0149607561,-604.259497847313,10761.3344602505,1198.93999835284,10157.0749624032,37230.5500594468,4407.94396471286,-7363.62688629266,10761.3344602505,1010.236390755,3397.70757395787,31364.7121004698,24775.6341076261,-604.259497847313,22917.3580530462,2462.53555242723,22313.0985551989,76526.544545205,17827.5631115829,-7363.62688629266,22917.3580530462,2273.83194482938,15553.7311667536,70660.706586228,10736.6795616512,-604.259497847313,9585.4502674999,1755.48879199865,8981.19076965259,54497.722646568,3788.60856560805,-7363.62688629266,9585.4502674999,1566.78518440081,2221.82338120724,48631.884687591,0.021,0.001,0,0,1,1,0.883,0.86,0.972,0.909,0.616,0.217,1,1,1,1,0,1,0,0.99
14,138,143,21,11,"Columbia County","Wisconsin",55,21,55021,58476,73.5,56833,71.4,54468,717,277,301,29,1444,441,600,28935,27898,3411,3637,3854,3574,2652,6804,7751,9354,7502,4390,2754,1150,41,40,42.1,22735,2.43,2885,3026,4920,7500,711,1299,15424,2.92,26137,3402,16955,5780,1564,197,234125,137020,795.99,1357,224,243906,163809,2.49660727,"Columbia",10,2,1,416,4.02113814,39,"M-38",9,"LODI MUNICIPAL LIGHT & WATER UTILITY","Municipal",3160,2.69731653,"18.85521655"," ","130 S Main Street","Lodi","WI","53555","608-592-3246","https://www.lodiutilities.org/","11/12/12 0:00"," ",23946.24141,"Lodi Municipal Light & Water Utility",-1,"",0,"","",0,0,NA,"","","","","","","","12/30/1899 12:00:00 AM","",0,"",-1,"","","",0,0,NA,"12/30/1899 12:00:00 AM","","","","","","","",0,"","",3160,-88.9871238396551,-1276.23375738521,-297.449870578283,-613.408302463922,4.68691163843323,311.27152024721,-608.721390825489,9597.97965424508,-7237.27727941917,-7337.2976079501,4.68691163843323,95.3334168924921,-7332.61069631166,2964.54252202703,11170.83243271,-613.408302463922,9626.06059974042,2158.18013543353,9012.6522972765,66379.6592888479,4231.00502386914,-7337.2976079501,9626.06059974042,1942.24203207881,2288.76299179033,59746.2221566299,14612.3927830774,-613.408302463922,13857.7602867408,1368.04079880047,13244.3519842769,42042.0911377279,7672.56537423647,-7337.2976079501,13857.7602867408,1152.10269544575,6520.46267879072,35408.6540055098,25449.4712060149,-613.408302463924,23270.9577920543,2791.92171642449,22657.5494895904,85781.9498286131,18509.643797174,-7337.2976079501,23270.9577920543,2575.98361306977,15933.6601841042,79148.5126963951,13352.7588312363,-613.408302463924,11683.0170083058,2283.15012539447,11069.6087058419,70170.8952588246,6412.93142239545,-7337.2976079501,11683.0170083058,2067.21202203975,4345.7194003557,63537.4581266066,0.195,0.02,0,0,1,1,0.906,0.9,1,0.961,0.894,0.743,1,1,1,1,0,1,0,1
15,407,91,91,55,"Rusk County","Wisconsin",55,107,55107,15008,16.1,14755,15.9,14398,61,74,41,1,173,37,143,7371,7384,813,868,954,1004,575,1332,1658,2393,2194,1515,999,450,45.7,45,46.6,6232,2.34,911,972,1074,2125,196,331,4013,2.89,8883,2651,4770,1462,529,253,70073,121366,930.86,501,272,70661,107354,2.4177567,"Rusk",4,4,3,160,67.89348996,-1,"",0,"","",0,0,"","","","","","","","","12/30/1899 12:00:00 AM","",0,"",24,"C-02",83,"BARRON ELECTRIC COOPERATIVE","Cooperative",378,1484.802432,286.3906214,"PO Box 40","1434 STH 25 N","Barron","WI","54812-0261","800-322-1008","https://www.barronelectric.com","12/21/20 0:00","X",460901.95,"Barron Electric Cooperative",-1,"","","",0,0,NA,"12/30/1899 12:00:00 AM","","","","","","","",0,"","",378,-74.5034440521083,-985.646615763617,-597.428020206054,-614.982494690217,-8.94799750306447,26.5024719872258,-623.930492193282,830.289324741156,-7513.18979925024,-7366.54351283053,-8.94799750306447,-137.698288916645,-7375.4915103336,-4293.07239052956,6221.41043493335,-614.982494690217,5334.23872345431,1502.15420616925,4719.2562287641,46887.7438289297,-694.351344110837,-7366.54351283053,5334.23872345431,1337.95344526538,-2032.30478937622,41764.382113659,8985.13942011499,-614.982494690217,8571.96831485236,1028.15359995285,7956.98582016214,32087.661904372,2069.37764107081,-7366.54351283053,8571.96831485236,863.952839048982,1205.42480202183,26964.3001891013,24014.1885307749,-614.982494690217,22383.9267091107,2245.24431635446,21768.9442144205,70064.2696216248,17098.4267517308,-7366.54351283053,22383.9267091107,2081.04355545059,15017.3831962802,64940.9079063541,7402.15939373742,-614.982494690217,6973.32966584339,1043.81222258425,6358.34717115317,32591.3769510867,486.397614693233,-7366.54351283053,6973.32966584339,879.611461680379,-393.213846987144,27468.0152358159,0,0,0,0,1,1,0.734,0.638,0.921,0.889,0.198,0.102,1,1,1,1,0,1,0,0.391
16,284,14,14,7,"Burnett County","Wisconsin",55,13,55013,15509,17.6,15457,17.6,14163,81,718,52,3,194,67,373,7806,7651,792,765,907,889,561,1288,1617,2450,2619,2138,1104,327,49,48.7,49.3,6807,2.25,1016,919,957,2607,230,364,4475,2.71,15278,8471,5576,1231,406,206,44395,91625,880.22,369,242,48965,102835,2.78488077,"Burnett",4,4,3,160,49.66648334,-1,"",0,"","",0,0,"","","","","","","","","12/30/1899 12:00:00 AM","",0,"",24,"C-02",83,"BARRON ELECTRIC COOPERATIVE","Cooperative",378,1484.802432,286.3906214,"PO Box 40","1434 STH 25 N","Barron","WI","54812-0261","800-322-1008","https://www.barronelectric.com","12/21/20 0:00","X",460901.95,"Barron Electric Cooperative",-1,"","","",0,0,NA,"12/30/1899 12:00:00 AM","","","","","","","",0,"","",378,-86.0499453433632,-358.16251639163,-616.241937829025,-635.666985089654,-8.13999285734644,27.565040117976,-643.806977947001,837.869898602235,-7444.64800909134,-7403.4448182342,-8.13999285734644,-33.0631979997897,-7411.58481109154,-1023.95703522878,7181.26897243853,-635.666985089652,6141.27772680811,1675.65823072008,5505.61074171846,51195.8413345203,352.862901176224,-7403.4448182342,6141.27772680811,1615.02999260232,-1262.16709142609,49334.0144006893,10057.5568672357,-635.666985089654,9557.83546477968,1135.38838754564,8922.16847969002,34771.1171870943,3229.15079597335,-7403.4448182342,9557.83546477968,1074.76014942787,2154.39064654548,32909.2902532632,27290.5609653059,-635.666985089654,25341.3530709995,2584.87487939608,24705.6860859098,79322.0297736302,20462.1548940436,-7403.4448182342,25341.3530709995,2524.24664127831,17937.9082527653,77460.2028397992,8339.52708488244,-635.666985089654,7806.1726782475,1169.0213917246,7170.50569315784,35736.9670299208,1511.12101362013,-7403.4448182342,7806.1726782475,1108.39315360683,402.7278600133,33875.1400960898,0.005,0.001,0,0,1,1,0.839,0.721,0.941,0.907,0.322,0.123,1,1,1,1,0,1,0,0.616
