"perc_positive_NB_NG_cool","perc_positive_private_NG_cool","perc_positive_NB_NG_nocool","perc_positive_private_NG_nocool","perc_positive_NB_P_cool","perc_positive_private_P_cool","perc_positive_NB_P_nocool","perc_positive_private_P_nocool","perc_positive_NB_HO_cool","perc_positive_private_HO_cool","perc_positive_NB_HO_nocool","perc_positive_private_HO_nocool","perc_positive_NB_ElecRes_cool","perc_positive_private_ElecRes_cool","perc_positive_NB_ElecRes_nocool","perc_positive_private_ElecRes_nocool","perc_positive_NB_wood_cool","perc_positive_private_wood_cool","perc_positive_NB_wood_nocool","perc_positive_private_wood_nocool","perc_households_NG","perc_households_P","perc_households_HO","perc_households_ElecRes","perc_households_wood","perc_positiveNB_cool","perc_positivePrivate_cool","perc_positiveNB_nocool","perc_positivePrivate_nocool","NAME","FIPS","x","y"
0.063,0.004,0,0,1,1,0.884,0.883,0.998,0.931,0.866,0.669,1,1,1,1,0,1,0,1,0.617524165887122,0.0614697016942106,0.0162768942937325,0.275335204240723,0.0189585282195198,0.391953268890968,0.373387319405467,0.343770210996778,0.359460721338738,"La Crosse County",55063,-91.33073582,43.93949765
0.318,0.034,0,0,1,1,0.92,0.887,1,0.994,0.882,0.863,1,1,1,1,0,1,0,1,0.272785417332907,0.385033578509754,0.0550047969299648,0.138791173648865,0.125999360409338,0.665575311800448,0.71377358490566,0.541536296770067,0.653784457946914,"Pepin County",55091,-91.66994291,44.67210476
0.384,0.062,0,0,1,1,0.937,0.913,1,0.995,0.912,0.885,1,1,1,1,0,1,0,1,0.621889686589972,0.166709915520572,0.0106968831992619,0.159847764034253,0.0219415852146585,0.576060202404636,0.397699824121327,0.325810512354756,0.343462243750541,"St. Croix County",55109,-92.5344374,45.1098137
0.682,0.144,0,0,1,1,0.921,0.886,1,1,0.882,0.849,1,1,1,1,0,1,0,1,0.728677217946856,0.121097720342675,0.0189632641208073,0.08317119210106,0.0341222593291709,0.720190039204298,0.36228395527806,0.211427791491215,0.240685842892406,"Manitowoc County",55071,-87.58000768,44.14459646
0.014,0.003,0,0,1,1,0.888,0.864,0.968,0.906,0.711,0.258,1,1,1,1,0,1,0,1,0.684412220059169,0.0812115823842298,0.011772460413569,0.191210509373515,0.0184711130186857,0.293399604518908,0.303612290571302,0.271696613884759,0.282885724358876,"Rock County",55105,-89.29243196,42.56423654
0.292,0.042,0,0,1,1,0.88,0.861,1,0.983,0.727,0.36,1,1,1,1,0,1,0,0.972,0.263249449147628,0.364026440913835,0.052765858749855,0.130465035370521,0.17708454134292,0.624126174185318,0.734501333642584,0.48916908268584,0.635013684332599,"Taylor County",55119,-90.78623915,45.24547841
0.021,0.001,0,0,1,1,0.883,0.86,0.972,0.909,0.616,0.217,1,1,1,1,0,1,0,0.99,0.43529263370333,0.292696770938446,0.0179112008072654,0.175012613521695,0.0520307769929364,0.494260216952573,0.536456735620585,0.444497161957619,0.482129036326942,"Pierce County",55093,-92.35909107,44.60894119
0.195,0.02,0,0,1,1,0.906,0.9,1,0.961,0.894,0.743,1,1,1,1,0,1,0,1,0.549802761341223,0.19723865877712,0.0207922419460881,0.166173570019724,0.0504602235371466,0.491416009204471,0.444849852071006,0.363460059171598,0.409597222222222,"Columbia County",55021,-89.5216457,43.32280718
0,0,0,0,1,1,0.734,0.638,0.921,0.889,0.198,0.102,1,1,1,1,0,1,0,0.391,0.275491113189897,0.431244153414406,0.0380417835983785,0.0954162768942937,0.148737137511693,0.561696913002806,0.709216713439351,0.419481758652947,0.432586529466791,"Rusk County",55107,-91.47813579,45.37378583
0.005,0.001,0,0,1,1,0.839,0.721,0.941,0.907,0.322,0.123,1,1,1,1,0,1,0,0.616,0.211681855840928,0.494614747307374,0.0146368406517537,0.112676056338028,0.152444076222038,0.622122479977907,0.773222176194421,0.532370892018779,0.564999171499586,"Burnett County",55013,-92.0604094,45.73363809
0.524,0.115,0,0,1,1,0.86,0.85,1,1,0.777,0.441,1,1,1,1,0,1,0,0.997,0.45744085474434,0.214398371915543,0.0692953446960061,0.161332994149071,0.082065632154668,0.684725718646655,0.579698041210888,0.399558076825235,0.455950292546426,"Grant County",55043,-90.44541331,43.18797173
0.106,0.013,0,0,1,1,0.92,0.904,0.998,0.952,0.899,0.794,1,1,1,1,0,1,0,1,0.573931211828994,0.151826850958963,0.0379834994106932,0.150523232972606,0.0633772634736955,0.401094324797314,0.409348744598021,0.324351101825065,0.381310868245294,"Marathon County",55073,-90.16884972,45.08536321
0.01,0.002,0,0,1,1,0.612,0.45,0.949,0.895,0.158,0.117,1,1,1,1,0,1,0,0.209,0.195444270561641,0.469483568075117,0.0768561989219266,0.12189184489654,0.115632063988872,0.666266388454182,0.776184663536776,0.421359067988176,0.366318727177882,"Buffalo County",55011,-91.98963665,44.59406433
0.038,0.002,0,0,1,1,0.863,0.811,0.985,0.914,0.502,0.166,1,1,1,1,0,1,0,0.965,0.446161021395674,0.285139625721448,0.0471637614411473,0.0823179618725587,0.117588759983676,0.430868011426573,0.529046347577683,0.352069667113624,0.434868536116131,"Shawano County",55115,-88.27947753,44.84582654
