NAME,FIPS,x,y
La Crosse County,55063,-91.33073582,43.93949765
Pepin County,55091,-91.66994291,44.67210476
St. Croix County,55109,-92.5344374,45.1098137
Manitowoc County,55071,-87.58000768,44.14459646
Rock County,55105,-89.29243196,42.56423654
Taylor County,55119,-90.78623915,45.24547841
Pierce County,55093,-92.35909107,44.60894119
Columbia County,55021,-89.5216457,43.32280718
Rusk County,55107,-91.47813579,45.37378583
Burnett County,55013,-92.0604094,45.73363809
Grant County,55043,-90.44541331,43.18797173
Marathon County,55073,-90.16884972,45.08536321
Buffalo County,55011,-91.98963665,44.59406433
Shawano County,55115,-88.27947753,44.84582654
Jefferson County,55055,-88.99506902,43.18684803
Sauk County,55111,-89.73009437,43.27154699
Jackson County,55053,-90.37195301,44.20812903
Chippewa County,55017,-91.12785525,45.16190185
Juneau County,55057,-90.2240278,43.64911202
Crawford County,55023,-90.67267699,43.20157642
Dane County,55025,-89.77004809,42.9882923
Clark County,55019,-90.67055823,44.44634613
Taylor County,55119,-90.4826137,45.16631345
Adams County,55001,-89.91771306,44.08073422
Iron County,55051,-90.16395194,46.04763584
Pierce County,55093,-92.52796446,44.67103288
Rock County,55105,-89.29793895,42.76927013
Lafayette County,55065,-89.97475576,42.61009799
Vernon County,55123,-90.61411934,43.57791355
Sawyer County,55113,-90.73862035,45.76660527
St. Croix County,55109,-92.53059929,44.87244119
Oneida County,55085,-89.98941218,45.73057285
Marinette County,55075,-88.097141,45.09240346
Grant County,55043,-90.91788068,42.76414675
Dunn County,55033,-91.6703802,44.79786111
Barron County,55005,-92.13734159,45.51548078
Menominee County,55078,-88.51261441,45.01601572
Portage County,55097,-89.24853193,44.594972
Dodge County,55027,-88.74535793,43.62617377
Clark County,55019,-90.33040489,44.67087866
Richland County,55103,-90.66186348,43.53027967
Chippewa County,55017,-91.5207537,45.26127946
Crawford County,55023,-90.69618061,43.33311671
Jackson County,55053,-91.12375713,44.56327026
Juneau County,55057,-90.05527128,43.7008731
Washburn County,55129,-91.77668657,45.83959999
Vernon County,55123,-90.72578966,43.43978447
Clark County,55019,-90.90909717,44.83006417
Marathon County,55073,-90.22066513,44.70321967
Dane County,55025,-89.23405898,42.89966464
Lincoln County,55069,-89.94159727,45.43955007
Wood County,55141,-90.21456184,44.36902462
Green Lake County,55047,-89.13681003,43.65614906
Rusk County,55107,-91.28154389,45.31356472
Vernon County,55123,-90.67793986,43.50601524
Pierce County,55093,-92.33560244,44.85640233
Ashland County,55003,-90.63025557,46.59387936
Sawyer County,55113,-91.21090406,46.00048623
Dunn County,55033,-92.11656309,45.19706572
Trempealeau County,55121,-91.41101846,43.99681637
Pepin County,55091,-91.77394667,44.65943524
Bayfield County,55007,-91.1504266,46.68672747
Calumet County,55015,-88.1209443,43.96326182
Dunn County,55033,-91.76097123,45.2038724
Eau Claire County,55035,-91.46828831,44.67424372
Jackson County,55053,-90.8500517,44.29955636
Monroe County,55081,-90.39270368,43.73483882
Door County,55029,-87.35532874,44.76444084
Trempealeau County,55121,-91.16466826,44.09777736
Juneau County,55057,-89.99830402,44.2129792
Pierce County,55093,-92.60983431,44.84710389
Richland County,55103,-90.58049939,43.49076187
Manitowoc County,55071,-88.0254643,43.97438061
Vilas County,55125,-89.9046362,46.27315785
Jackson County,55053,-91.13149452,44.2151373
Clark County,55019,-90.85600484,44.5529491
Clark County,55019,-90.38954586,45.01242458
La Crosse County,55063,-91.12318592,44.05872937
Pepin County,55091,-91.7225377,44.61408985
Rusk County,55107,-90.69341213,45.63137355
St. Croix County,55109,-92.59698294,44.87006335
Shawano County,55115,-89.07349085,44.7817648
Lafayette County,55065,-89.86588377,42.70224905
Chippewa County,55017,-91.0877015,45.11281541
Douglas County,55031,-91.6194026,46.70339112
Washburn County,55129,-91.86109327,45.82365441
Barron County,55005,-92.02098488,45.53081395
Richland County,55103,-90.4603323,43.21850533
Marathon County,55073,-90.24111123,44.79159401
Monroe County,55081,-90.87503459,43.78921256
Dunn County,55033,-92.1283262,44.90590088
Barron County,55005,-92.02823104,45.30818057
Shawano County,55115,-88.84782384,44.91515466
Sawyer County,55113,-90.68482862,45.69814036
Vernon County,55123,-90.75833436,43.59460462
Sauk County,55111,-90.18224184,43.43824408
Sheboygan County,55117,-87.83342156,43.70969234
Taylor County,55119,-90.86391744,45.33526387
Washburn County,55129,-92.0199139,45.99160044
Manitowoc County,55071,-87.66814756,44.11304544
Chippewa County,55017,-91.07758864,44.88535632
Jackson County,55053,-90.42234339,44.35845967
Richland County,55103,-90.30966708,43.45260104
Waushara County,55137,-89.25649297,44.11938031
Dane County,55025,-89.44808452,43.18272765
